index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Aurelia Renovation,General contractor,https://www.google.com/maps/place/Aurelia+Renovation/data=!4m7!3m6!1s0x47e671e9387b40f3:0x3e8a53ee51d471b8!8m2!3d48.8571301!4d2.2725096!16s%2Fg%2F11fqdp475d!19sChIJ80B7OOlx5kcRuHHUUe5Tij4?authuser=0&hl=en&rclk=1,+33 6 86 89 77 14,"@48.8571301,2.2725096",48.8571301,2.2725096,Europe/Paris,true,http://www.aureliarenovation.fr/,https://lh5.googleusercontent.com/p/AF1QipMuo8o654Qx-BVSyKFLJdV1LHegnLpDPfTK6ip-=w664-h240-k-no,false,"16 Av. Mozart, 75016 Paris, France",disabled,50,"V74F+V2 Paris, France",5,,
2,,Archides,Real estate developer,https://www.google.com/maps/place/Archides/data=!4m7!3m6!1s0x47e66fb4add15555:0x328cb0bfb4ada33d!8m2!3d48.8682812!4d2.322961!16s%2Fg%2F11g0tl325c!19sChIJVVXRrbRv5kcRPaOttL-wjDI?authuser=0&hl=en&rclk=1,+33 1 76 38 11 02,"@48.8682812,2.322961",48.8682812,2.322961,Europe/Paris,true,https://www.archides.fr/,https://lh5.googleusercontent.com/p/AF1QipNsND1znwBoyTNCuSx2pjN9C9jh9OPtj2_BV0yx=w408-h273-k-no,false,"15 Rue Royale, 75008 Paris, France",disabled,275,"V89F+85 Paris, France",4.9,,
3,,CR FRANCE - Construction Rénovation,Construction company,https://www.google.com/maps/place/CR+FRANCE+-+Construction+R%C3%A9novation/data=!4m7!3m6!1s0x47e67a84b5721909:0x781d1b81d23f3a7b!8m2!3d48.8346099!4d2.4045545!16s%2Fg%2F11g4g88ct7!19sChIJCRlytYR65kcRezo_0oEbHXg?authuser=0&hl=en&rclk=1,+33 7 58 13 53 76,"@48.8346099,2.4045545",48.8346099,2.4045545,Europe/Paris,true,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LnIdE5Wuo_UlC9777GF7BQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.01276&pitch=0&thumbfov=100,false,"101 Bd Poniatowski, 75012 Paris, France",disabled,17,"RCM3+RR Paris, France",4.5,,
4,,Rénovation Intérieure Paris - Group SAB,Construction company,https://www.google.com/maps/place/R%C3%A9novation+Int%C3%A9rieure+Paris+-+Group+SAB/data=!4m7!3m6!1s0x47e66fcfd87e2099:0x2965777de0ef36db!8m2!3d48.8729473!4d2.3246264!16s%2Fg%2F11p9h_zpjk!19sChIJmSB-2M9v5kcR2zbv4H13ZSk?authuser=0&hl=en&rclk=1,+33 6 69 30 32 40,"@48.8729473,2.3246264",48.8729473,2.3246264,Europe/Paris,true,http://renovationinterieurparis.com/?utm_source=gmb&utm_medium=referral,https://lh5.googleusercontent.com/p/AF1QipNomArRbmHRkyrH9ADhzso0FuWNC-fiRT7EpRWz=w408-h724-k-no,false,"37 Rue des Mathurins, 75008 Paris, France",disabled,10,"V8FF+5V Paris, France",5,,
5,,Working Renov ️ ️ ️ ️ ️ Entreprise rénovation Paris 🏻‍,Construction company,https://www.google.com/maps/place/Working+Renov+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+Entreprise+r%C3%A9novation+Paris+%F0%9F%8F%BB%E2%80%8D/data=!4m7!3m6!1s0x47e5de6a31930a35:0xb2bb09f29c1e1e2!8m2!3d48.8731033!4d2.3166404!16s%2Fg%2F11hyl5hqg2!19sChIJNQqTMWre5UcR4uHBKZ-wKws?authuser=0&hl=en&rclk=1,+33 1 85 53 91 36,"@48.8731033,2.3166404",48.8731033,2.3166404,Europe/Paris,true,https://www.entrepriserenovationparis.fr/entreprise-renovation-paris-8,https://lh5.googleusercontent.com/p/AF1QipNCfequJ8cNMkLOjo_aYyASgD-QtG_jPMnXlR5-=w408-h272-k-no,false,"10 Rue de Penthièvre, 75008 Paris, France",disabled,38,"V8F8+6M Paris, France",4.9,,
6,,DELTA FRANCE,Construction company,https://www.google.com/maps/place/DELTA+FRANCE/data=!4m7!3m6!1s0x47e66d94f7cd5177:0x27d061954612b615!8m2!3d48.8721037!4d2.3936499!16s%2Fg%2F1tfqq7_l!19sChIJd1HN95Rt5kcRFbYSRpVh0Cc?authuser=0&hl=en&rclk=1,+33 6 62 51 93 91,"@48.8721037,2.3936499",48.8721037,2.3936499,Europe/Paris,true,http://deltafrance-idf.com/,https://lh5.googleusercontent.com/p/AF1QipM2gRk31JFDUaLSV_LJk7gOOV6s1Mb78KP_EanL=w408-h306-k-no,false,"26 Rue des Rigoles, 75020 Paris, France",disabled,30,"V9CV+RF Paris, France",4,,
7,,TRAVAUX PRIVES,General contractor,https://www.google.com/maps/place/TRAVAUX+PRIVES/data=!4m7!3m6!1s0x47e66fc43541ab29:0x8e87c1c43cae8d2f!8m2!3d48.8770248!4d2.3228362!16s%2Fg%2F1yg4d_kdn!19sChIJKatBNcRv5kcRL42uPMTBh44?authuser=0&hl=en&rclk=1,+33 6 27 13 11 32,"@48.8770248,2.3228362",48.8770248,2.3228362,Europe/Paris,true,http://www.travauxprives.com/,https://lh5.googleusercontent.com/p/AF1QipMXSMbNC4S3ExOtwSYRoJCcFuWDSwWJ8WbJgg4_=w408-h576-k-no,false,"1 Rue de Stockholm, 75008 Paris, France",disabled,50,"V8GF+R4 Paris, France",4.3,,
8,,Rénovation appartement Paris,Construction company,https://www.google.com/maps/place/R%C3%A9novation+appartement+Paris/data=!4m7!3m6!1s0x47e66f198e149cd7:0x18b283d00860fdfb!8m2!3d48.8779657!4d2.3423667!16s%2Fg%2F11q1k2t0sz!19sChIJ15wUjhlv5kcR-_1gCNCDshg?authuser=0&hl=en&rclk=1,+33 6 24 88 54 74,"@48.8779657,2.3423667",48.8779657,2.3423667,Europe/Paris,true,https://globalerenovation.com/,https://lh5.googleusercontent.com/p/AF1QipOtmdcEUx6qXA1bRODFO4aIPsR6L2MyPGXkhovh=w408-h544-k-no,false,"9 Rue Rodier, 75009 Paris, France",disabled,12,"V8HR+5W Paris, France",4.6,,
9,,Construction et Rénovation BTP - Paris - STB Rénovation,Construction company,https://www.google.com/maps/place/Construction+et+R%C3%A9novation+BTP+-+Paris+-+STB+R%C3%A9novation/data=!4m7!3m6!1s0x47e66de0952608d5:0x5550b2345eba7b9e!8m2!3d48.8745777!4d2.3725416!16s%2Fg%2F11fqptjslc!19sChIJ1QgmleBt5kcRnnu6XjSyUFU?authuser=0&hl=en&rclk=1,+33 1 85 53 76 83,"@48.8745777,2.3725416",48.8745777,2.3725416,Europe/Paris,true,https://www.stb-renovation.net/,https://lh5.googleusercontent.com/p/AF1QipPiQo0U0MY5YjPwDXFdMU2swvI6LcfsBP-EQm7a=w408-h272-k-no,false,"36 Rue de Sambre-et-Meuse, 75010 Paris, France",disabled,12,"V9FF+R2 Paris, France",3.9,,
10,,Béton Imprimé - Béton Quartze,Construction company,https://www.google.com/maps/place/B%C3%A9ton+Imprim%C3%A9+-+B%C3%A9ton+Quartze/data=!4m7!3m6!1s0x47e673e14013c951:0x58aae56669fb22ec!8m2!3d48.68077!4d2.5026636!16s%2Fg%2F11gwmhfp8q!19sChIJUckTQOFz5kcR7CL7aWblqlg?authuser=0&hl=en&rclk=1,+33 7 54 52 33 59,"@48.68077,2.5026636",48.68077,2.5026636,Europe/Paris,true,,https://lh5.googleusercontent.com/p/AF1QipOdn17cAxuD_Qmtg63Xh1t06U65cun-vBeVk3TU=w426-h240-k-no,false,,disabled,3,,5,,
11,,Co'Building,Construction company,https://www.google.com/maps/place/Co%27Building/data=!4m7!3m6!1s0xdd567e342ada329:0xc4f0dff7271182ee!8m2!3d48.8579003!4d2.2799728!16s%2Fg%2F11s8c32syz!19sChIJKaOtQuNn1Q0R7oIRJ_ff8MQ?authuser=0&hl=en&rclk=1,,"@48.8579003,2.2799728",48.8579003,2.2799728,Europe/Paris,true,http://www.co-building.fr/,https://lh5.googleusercontent.com/p/AF1QipMtKyhWXSVl9EZjWRLi1VWb8VIrc1q3XQkb3AD_=w408-h272-k-no,false,"44 Rue de Passy, 75116 Paris, France",disabled,7,"V75H+5X Paris, France",5,,
12,,P27 Entreprise générale de bâtiment,Construction company,https://www.google.com/maps/place/P27+Entreprise+g%C3%A9n%C3%A9rale+de+b%C3%A2timent/data=!4m7!3m6!1s0x47e671830dde4ac1:0x85c7e85aef605b12!8m2!3d48.68077!4d2.5026636!16s%2Fg%2F11qp0s5bcn!19sChIJwUreDYNx5kcREltg71rox4U?authuser=0&hl=en&rclk=1,+33 1 82 10 29 14,"@48.68077,2.5026636",48.68077,2.5026636,Europe/Paris,true,http://www.p27.fr/,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,,disabled,8,,4.9,,
13,,Cret Groupe - Entreprise générale de bâtiment,Civil engineering company,https://www.google.com/maps/place/Cret+Groupe+-+Entreprise+g%C3%A9n%C3%A9rale+de+b%C3%A2timent/data=!4m7!3m6!1s0xa82f050d70549a1b:0x4c386bc57ebf559c!8m2!3d48.68077!4d2.5026636!16s%2Fg%2F11kpkc6c39!19sChIJG5pUcA0FL6gRnFW_fsVrOEw?authuser=0&hl=en&rclk=1,+33 6 51 51 35 29,"@48.68077,2.5026636",48.68077,2.5026636,Europe/Paris,true,https://cret-groupe.fr/,https://lh5.googleusercontent.com/p/AF1QipMW2LGvb2YUVx5Xn5VrM_R5ctOnCkN9uNt-OAux=w408-h306-k-no,false,,disabled,6,,5,,
14,,UMPT,Home builder,https://www.google.com/maps/place/UMPT/data=!4m7!3m6!1s0x47e67227bb801ed3:0xe6764163fb0483a9!8m2!3d48.8273272!4d2.3664085!16s%2Fg%2F11b6dpwq22!19sChIJ0x6Auydy5kcRqYME-2NBduY?authuser=0&hl=en&rclk=1,+33 1 45 30 64 52,"@48.8273272,2.3664085",48.8273272,2.3664085,Europe/Paris,true,https://www.umpt-idf.com/,https://lh5.googleusercontent.com/p/AF1QipOYelxd0AVAznzjF0pkf4_LkYerSVTek4ySUws0=w426-h240-k-no,false,"90 Rue Nationale, 75013 Paris, France",disabled,50,"R9G8+WH Paris, France",4.8,,
15,,Paris Ouest Renovation,Construction company,https://www.google.com/maps/place/Paris+Ouest+Renovation/data=!4m7!3m6!1s0x47e6710007302dc1:0xe97a7d7b0bd5db0e!8m2!3d48.8546581!4d2.2824378!16s%2Fg%2F11lch7ctkn!19sChIJwS0wBwBx5kcRDtvVC3t9euk?authuser=0&hl=en&rclk=1,+33 6 26 70 10 65,"@48.8546581,2.2824378",48.8546581,2.2824378,Europe/Paris,false,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vV0ZQQfY6OVL5zw5vexAFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=326.9011&pitch=0&thumbfov=100,false,"6 Av. de Lamballe, 75016 Paris, France",disabled,5,"V73J+VX Paris, France",5,,
16,,Renovation Man Paris | Travaux de rénovation et devis travaux gratuits,General contractor,https://www.google.com/maps/place/Renovation+Man+Paris+%7C+Travaux+de+r%C3%A9novation+et+devis+travaux+gratuits/data=!4m7!3m6!1s0x47e66e30cf33f58d:0x1acfc90c8300aed6!8m2!3d48.8763696!4d2.3499858!16s%2Fg%2F11f00mhm78!19sChIJjfUzzzBu5kcR1q4AgwzJzxo?authuser=0&hl=en&rclk=1,+33 9 80 80 63 23,"@48.8763696,2.3499858",48.8763696,2.3499858,Europe/Paris,true,https://www.renovationman.com/?utm_campaign=gmb-idf&utm_content=75&utm_medium=organic&utm_source=gmb,https://lh5.googleusercontent.com/p/AF1QipO-Zfo678TVqYcsHuiX97wzO7BAvV5nUYKdIcUM=w426-h240-k-no,false,"10 Rue des Messageries, 75010 Paris, France",disabled,232,"V8GX+GX Paris, France",4.1,,
17,,Franzetti Côte d'Ivoire,Construction company,https://www.google.com/maps/place/Franzetti+C%C3%B4te+d%27Ivoire/data=!4m7!3m6!1s0xfc1ee865eeb8aa7:0x13f55eb6036a55ab!8m2!3d7.4665074!4d-5.5475449!16s%2Fg%2F11f08yy672!19sChIJp4rrXobuwQ8Rq1VqA7Ze9RM?authuser=0&hl=en&rclk=1,+225 27 21 3 62215,"@7.4665074,-5.5475449",7.4665074,-5.5475449,Africa/Abidjan,true,https://www.franzetti-ci.com/,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,,disabled,82,,4,,
18,,B&C FRANCE,Real estate developer,https://www.google.com/maps/place/B%26C+FRANCE/data=!4m7!3m6!1s0x47e66f9535977599:0x87964ac64c6842c3!8m2!3d48.8698543!4d2.2862957!16s%2Fg%2F1trttmnb!19sChIJmXWXNZVv5kcRw0JoTMZKloc?authuser=0&hl=en&rclk=1,+33 1 45 00 02 02,"@48.8698543,2.2862957",48.8698543,2.2862957,Europe/Paris,true,http://www.bcfrance.com/,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"89 Av. Victor Hugo, 75116 Paris, France",disabled,11,"V79P+WG Paris, France",4.5,,
