index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Aurelia Renovation,General contractor,https://www.google.com/maps/place/Aurelia+Renovation/data=!4m7!3m6!1s0x47e671e9387b40f3:0x3e8a53ee51d471b8!8m2!3d48.8571301!4d2.2725096!16s%2Fg%2F11fqdp475d!19sChIJ80B7OOlx5kcRuHHUUe5Tij4?authuser=0&hl=en&rclk=1,+33 6 86 89 77 14,"@48.8571301,2.2725096",48.8571301,2.2725096,Europe/Paris,true,http://www.aureliarenovation.fr/,https://lh5.googleusercontent.com/p/AF1QipMuo8o654Qx-BVSyKFLJdV1LHegnLpDPfTK6ip-=w664-h240-k-no,false,"16 Av. Mozart, 75016 Paris, France",,50,"V74F+V2 Paris, France",5,,
2,,Archides,Real estate developer,https://www.google.com/maps/place/Archides/data=!4m7!3m6!1s0x47e66fb4add15555:0x328cb0bfb4ada33d!8m2!3d48.8682812!4d2.322961!16s%2Fg%2F11g0tl325c!19sChIJVVXRrbRv5kcRPaOttL-wjDI?authuser=0&hl=en&rclk=1,+33 1 76 38 11 02,"@48.8682812,2.322961",48.8682812,2.322961,Europe/Paris,true,https://www.archides.fr/,https://lh5.googleusercontent.com/p/AF1QipNsND1znwBoyTNCuSx2pjN9C9jh9OPtj2_BV0yx=w408-h273-k-no,false,"15 Rue Royale, 75008 Paris, France",contact@archides.fr,275,"V89F+85 Paris, France",4.9,,
3,,CR FRANCE - Construction Rénovation,Construction company,https://www.google.com/maps/place/CR+FRANCE+-+Construction+R%C3%A9novation/data=!4m7!3m6!1s0x47e67a84b5721909:0x781d1b81d23f3a7b!8m2!3d48.8346099!4d2.4045545!16s%2Fg%2F11g4g88ct7!19sChIJCRlytYR65kcRezo_0oEbHXg?authuser=0&hl=en&rclk=1,+33 7 58 13 53 76,"@48.8346099,2.4045545",48.8346099,2.4045545,Europe/Paris,true,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LnIdE5Wuo_UlC9777GF7BQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.01276&pitch=0&thumbfov=100,false,"101 Bd Poniatowski, 75012 Paris, France",,17,"RCM3+RR Paris, France",4.5,,
4,,Rénovation Intérieure Paris - Group SAB,Construction company,https://www.google.com/maps/place/R%C3%A9novation+Int%C3%A9rieure+Paris+-+Group+SAB/data=!4m7!3m6!1s0x47e66fcfd87e2099:0x2965777de0ef36db!8m2!3d48.8729473!4d2.3246264!16s%2Fg%2F11p9h_zpjk!19sChIJmSB-2M9v5kcR2zbv4H13ZSk?authuser=0&hl=en&rclk=1,+33 6 69 30 32 40,"@48.8729473,2.3246264",48.8729473,2.3246264,Europe/Paris,true,http://renovationinterieurparis.com/?utm_source=gmb&utm_medium=referral,https://lh5.googleusercontent.com/p/AF1QipNomArRbmHRkyrH9ADhzso0FuWNC-fiRT7EpRWz=w408-h724-k-no,false,"37 Rue des Mathurins, 75008 Paris, France",,10,"V8FF+5V Paris, France",5,,
5,,Working Renov ️ ️ ️ ️ ️ Entreprise rénovation Paris 🏻‍,Construction company,https://www.google.com/maps/place/Working+Renov+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+%EF%B8%8F+Entreprise+r%C3%A9novation+Paris+%F0%9F%8F%BB%E2%80%8D/data=!4m7!3m6!1s0x47e5de6a31930a35:0xb2bb09f29c1e1e2!8m2!3d48.8731033!4d2.3166404!16s%2Fg%2F11hyl5hqg2!19sChIJNQqTMWre5UcR4uHBKZ-wKws?authuser=0&hl=en&rclk=1,+33 1 85 53 91 36,"@48.8731033,2.3166404",48.8731033,2.3166404,Europe/Paris,true,https://www.entrepriserenovationparis.fr/entreprise-renovation-paris-8,https://lh5.googleusercontent.com/p/AF1QipNCfequJ8cNMkLOjo_aYyASgD-QtG_jPMnXlR5-=w408-h272-k-no,false,"10 Rue de Penthièvre, 75008 Paris, France",contact@workingrenov.com,38,"V8F8+6M Paris, France",4.9,,
6,,DELTA FRANCE,Construction company,https://www.google.com/maps/place/DELTA+FRANCE/data=!4m7!3m6!1s0x47e66d94f7cd5177:0x27d061954612b615!8m2!3d48.8721037!4d2.3936499!16s%2Fg%2F1tfqq7_l!19sChIJd1HN95Rt5kcRFbYSRpVh0Cc?authuser=0&hl=en&rclk=1,+33 6 62 51 93 91,"@48.8721037,2.3936499",48.8721037,2.3936499,Europe/Paris,true,http://deltafrance-idf.com/,https://lh5.googleusercontent.com/p/AF1QipM2gRk31JFDUaLSV_LJk7gOOV6s1Mb78KP_EanL=w408-h306-k-no,false,"26 Rue des Rigoles, 75020 Paris, France",,30,"V9CV+RF Paris, France",4,,
7,,TRAVAUX PRIVES,General contractor,https://www.google.com/maps/place/TRAVAUX+PRIVES/data=!4m7!3m6!1s0x47e66fc43541ab29:0x8e87c1c43cae8d2f!8m2!3d48.8770248!4d2.3228362!16s%2Fg%2F1yg4d_kdn!19sChIJKatBNcRv5kcRL42uPMTBh44?authuser=0&hl=en&rclk=1,+33 6 27 13 11 32,"@48.8770248,2.3228362",48.8770248,2.3228362,Europe/Paris,true,http://www.travauxprives.com/,https://lh5.googleusercontent.com/p/AF1QipMXSMbNC4S3ExOtwSYRoJCcFuWDSwWJ8WbJgg4_=w408-h576-k-no,false,"1 Rue de Stockholm, 75008 Paris, France",contact@travauxprives.com,50,"V8GF+R4 Paris, France",4.3,,
8,,Rénovation appartement Paris,Construction company,https://www.google.com/maps/place/R%C3%A9novation+appartement+Paris/data=!4m7!3m6!1s0x47e66f198e149cd7:0x18b283d00860fdfb!8m2!3d48.8779657!4d2.3423667!16s%2Fg%2F11q1k2t0sz!19sChIJ15wUjhlv5kcR-_1gCNCDshg?authuser=0&hl=en&rclk=1,+33 6 24 88 54 74,"@48.8779657,2.3423667",48.8779657,2.3423667,Europe/Paris,true,https://globalerenovation.com/,https://lh5.googleusercontent.com/p/AF1QipOtmdcEUx6qXA1bRODFO4aIPsR6L2MyPGXkhovh=w408-h544-k-no,false,"9 Rue Rodier, 75009 Paris, France",prestationbati@gmail.com,12,"V8HR+5W Paris, France",4.6,,
9,,RENOVATIONS KAMKOM | Entreprise de bâtiment à Paris 16 et Neuilly sur Seine,Construction company,https://www.google.com/maps/place/RENOVATIONS+KAMKOM+%7C+Entreprise+de+b%C3%A2timent+%C3%A0+Paris+16+et+Neuilly+sur+Seine/data=!4m7!3m6!1s0x47e66f64480ee845:0x35d64ba63aff1a9d!8m2!3d48.8621271!4d2.2822384!16s%2Fg%2F11j495ywfn!19sChIJRegOSGRv5kcRnRr_OqZL1jU?authuser=0&hl=en&rclk=1,+33 1 75 90 90 20,"@48.8621271,2.2822384",48.8621271,2.2822384,Europe/Paris,true,http://www.renovationskamkom.fr/,https://lh5.googleusercontent.com/p/AF1QipPd5_NIPrhfVbzSoUWvK6tvcOrgChL42-Y_sPBP=w449-h240-k-no,false,"36 Rue Scheffer, 75116 Paris, France",contact@renovationskamkom.fr,25,"V76J+VV Paris, France",4.6,,
10,,Urban Rénovation - Rénovation Appartement Paris,Construction company,https://www.google.com/maps/place/Urban+R%C3%A9novation+-+R%C3%A9novation+Appartement+Paris/data=!4m7!3m6!1s0x47e66e1cb86c0001:0x142e0fcbdeab6b20!8m2!3d48.8598427!4d2.3551882!16s%2Fg%2F11g87254jx!19sChIJAQBsuBxu5kcRIGur3ssPLhQ?authuser=0&hl=en&rclk=1,+33 7 60 41 90 67,"@48.8598427,2.3551882",48.8598427,2.3551882,Europe/Paris,true,http://urbanrenovation.fr/,https://lh5.googleusercontent.com/p/AF1QipNyvL13uqk3bYzUHXRcyGjBLF4MVLaXhLyQZcPd=w408-h906-k-no,false,"40 Rue des Blancs Manteaux, 75004 Paris, France",,12,"V954+W3 Paris, France",5,,
