index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Staten Island Wash & Repair Center inc,Car wash,https://www.google.com/maps/place/Staten+Island+Wash+%26+Repair+Center+inc/data=!4m7!3m6!1s0x89c24dda5e881c5d:0x2cf0ad739276b38b!8m2!3d40.6065002!4d-74.1618169!16s%2Fg%2F11fs29qhyr!19sChIJXRyIXtpNwokRi7N2knOt8Cw?authuser=0&hl=en&rclk=1,+1 718-761-7900,"@40.6065002,-74.1618169",40.6065002,-74.1618169,America/New_York,true,http://statenislandwashandrepair.business.site/,https://lh5.googleusercontent.com/p/AF1QipObktkurcbzqftJk2_DYOpjG3aXsp3E5iVIX_jw=w426-h240-k-no,false,"1725 Richmond Ave, Staten Island, NY 10314, United States",,0,"JR4Q+J7 New York, USA",0,,
2,,Brushless Car Wash Full Service & Exterior,Car wash,https://www.google.com/maps/place/Brushless+Car+Wash+Full+Service+%26+Exterior/data=!4m7!3m6!1s0x89c266b23ed72ff9:0xed8acb99ea020855!8m2!3d40.6798248!4d-73.7613449!16s%2Fg%2F11ghtdq8kv!19sChIJ-S_XPrJmwokRVQgC6pnLiu0?authuser=0&hl=en&rclk=1,,"@40.6798248,-73.7613449",40.6798248,-73.7613449,America/New_York,false,,https://lh5.googleusercontent.com/p/AF1QipM4omt3f0Naa5pDR3PGsoIryW7cpOMk3rdgQXzf=w408-h306-k-no,false,"Jamaica, NY 11434, United States",,148,"M6HQ+WF Jamaica, Queens, NY, USA",4,,
3,,USA CAR WASH - Car Wash - Car detailing - Oil Change - Tire Repair - Queens NY 11428,Car wash,https://www.google.com/maps/place/USA+CAR+WASH+-+Car+Wash+-+Car+detailing+-+Oil+Change+-+Tire+Repair+-+Queens+NY+11428/data=!4m7!3m6!1s0x89c263802dab3ae7:0x6bde7a4909fb03b4!8m2!3d40.715368!4d-73.7466086!16s%2Fg%2F1v75sv7l!19sChIJ5zqrLYBjwokRtAP7CUl63ms?authuser=0&hl=en&rclk=1,+1 718-465-4551,"@40.715368,-73.7466086",40.715368,-73.7466086,America/New_York,true,https://www.usacarwashny.com/,https://lh5.googleusercontent.com/p/AF1QipOfnpP2M4ZKiuCPZISGAm8b3kVyBDIDUsQwHFQI=w432-h240-k-no,false,"212-12 Jamaica Ave, Queens, NY 11428, United States",,712,"P783+49 New York, USA",3.7,,
4,,Self Serve Car Wash,Self service car wash,https://www.google.com/maps/place/Self+Serve+Car+Wash/data=!4m7!3m6!1s0x89c261db77841f23:0x4cfe89fd6525c919!8m2!3d40.7483584!4d-73.7583581!16s%2Fg%2F11k7q0p_mq!19sChIJIx-Ed9thwokRGcklZf2J_kw?authuser=0&hl=en&rclk=1,+1 718-744-8393,"@40.7483584,-73.7583581",40.7483584,-73.7583581,America/New_York,true,,https://lh5.googleusercontent.com/p/AF1QipOT9ltu8hboT6hJinIf2WimxZG3sIcr8cGyDx7P=w426-h240-k-no,false,"21902 Horace Harding Expy, Queens, NY 11364, United States",,67,"P6XR+8M New York, USA",4.3,,
5,,Michael's Car Wash,Car wash,https://www.google.com/maps/place/Michael%27s+Car+Wash/data=!4m7!3m6!1s0x89c258cd5002747d:0x7c1421e8449d8e35!8m2!3d40.7592468!4d-73.9370648!16s%2Fg%2F11fzd34mm4!19sChIJfXQCUM1YwokRNY6dROghFHw?authuser=0&hl=en&rclk=1,+1 718-786-6228,"@40.7592468,-73.9370648",40.7592468,-73.9370648,America/New_York,false,,https://lh5.googleusercontent.com/p/AF1QipOtkM9ic30vbaRraXOLxn2m9ZTAX0OY2Y6I99kZ=w408-h306-k-no,false,"3621 21st St, Long Island City, NY 11106, United States",,478,"Q357+M5 Long Island City, Queens, NY, USA",4.1,,
6,,Broadway Bridge Wash & Lube,Car wash,https://www.google.com/maps/place/Broadway+Bridge+Wash+%26+Lube/data=!4m7!3m6!1s0x89c2f38d355eb99b:0xcbba0f7df5afd4db!8m2!3d40.8719444!4d-73.9125!16s%2Fg%2F113k5hdy8!19sChIJm7leNY3zwokR29Sv9X0Puss?authuser=0&hl=en&rclk=1,+1 212-569-4570,"@40.8719444,-73.9125",40.8719444,-73.9125,America/New_York,true,,https://lh5.googleusercontent.com/p/AF1QipOjbqE8qFeOJ2ASNL7_bdRrfn1aBXx3FoclWbpW=w408-h544-k-no,false,"5134 Broadway, New York, NY 10034, United States",,774,"V3CQ+Q2 New York, USA",4," $$",
7,,Ultimate Car Wash,Car wash,https://www.google.com/maps/place/Ultimate+Car+Wash/data=!4m7!3m6!1s0x89c25ae934054893:0x6c203c3cc2623d65!8m2!3d40.6631992!4d-73.9991015!16s%2Fg%2F1wb8vm48!19sChIJk0gFNOlawokRZT1iwjw8IGw?authuser=0&hl=en&rclk=1,+1 718-965-8091,"@40.6631992,-73.9991015",40.6631992,-73.9991015,America/New_York,true,https://www.ultimatecleancar.com/,https://lh5.googleusercontent.com/p/AF1QipNPblEOzj9fm9e-0LB2IaY4Ceg210TnYEudiDzL=w408-h306-k-no,false,"718 3rd Ave, Brooklyn, NY 11232, United States",,558,"M272+79 New York, USA",4.1,,
8,,LMC Car Wash & Lube,Car wash,https://www.google.com/maps/place/LMC+Car+Wash+%26+Lube/data=!4m7!3m6!1s0x89c2f6011b0f7f55:0x29ad69900ce83474!8m2!3d40.7914882!4d-73.9392964!16s%2Fg%2F1tf08ll2!19sChIJVX8PGwH2wokRdDToDJBprSk?authuser=0&hl=en&rclk=1,+1 212-423-0444,"@40.7914882,-73.9392964",40.7914882,-73.9392964,America/New_York,true,https://www.facebook.com/LMCfirstave.carwash,https://lh5.googleusercontent.com/p/AF1QipNofrQg8P9JE_R1uSLmchjTqnXWsHEUxg4ZeynH=w408-h544-k-no,false,"334 E 109th St, New York, NY 10029, United States",firstave.carwash@gmail.com,0,"Q3R6+H7 New York, USA",4,,
9,,Hand Car Wash,Car wash,https://www.google.com/maps/place/Hand+Car+Wash/data=!4m7!3m6!1s0x89c2f3f8b95cdbfb:0xf1c4730586a641fe!8m2!3d40.8669809!4d-73.9292606!16s%2Fg%2F11b75gqd7c!19sChIJ-9tcufjzwokR_kGmhgVzxPE?authuser=0&hl=en&rclk=1,+1 212-304-1568,"@40.8669809,-73.9292606",40.8669809,-73.9292606,America/New_York,false,,https://lh5.googleusercontent.com/p/AF1QipPiLUNWBMOmOq8Rh0q-3udpTCo3NuenyyBrYutq=w408-h544-k-no,false,"284 Dyckman St, New York, NY 10034, United States",,131,"V38C+Q7 New York, USA",3.9,,
10,,Alpha Car Wash & Detailing,Car wash,https://www.google.com/maps/place/Alpha+Car+Wash+%26+Detailing/data=!4m7!3m6!1s0x89c2584e44409acb:0x78a12eb8179b5c70!8m2!3d40.7634334!4d-73.9966499!16s%2Fg%2F1thtqhpt!19sChIJy5pARE5YwokRcFybF7guoXg?authuser=0&hl=en&rclk=1,+1 917-261-5977,"@40.7634334,-73.9966499",40.7634334,-73.9966499,America/New_York,true,https://lcalphacarwash.wixsite.com/alpha-carwash,https://lh5.googleusercontent.com/p/AF1QipPHIdJe6bsiG5oOzDJx96nzZg7QySWXvYbnfcpj=w408-h303-k-no,false,"625 46th Street, 11th Ave, New York, NY 10036, United States",lcalphacarwash@gmail.com,298,"Q273+98 New York, USA",3.7,,
