index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,La Table de Mus,Modern European restaurant,https://www.google.com/maps/place/La+Table+de+Mus/data=!4m7!3m6!1s0x47c3c47eb445e0c1:0x39dafca9b07e00b6!8m2!3d50.8438286!4d4.351985!16s%2Fg%2F11cm024_gq!19sChIJweBFtH7Ew0cRtgB-sKn82jk?authuser=0&hl=en&rclk=1,+32 2 511 05 86,"@50.8438286,4.351985",50.8438286,4.351985,Europe/Brussels,true,https://latabledemus.be/,https://lh5.googleusercontent.com/p/AF1QipNjBwcYjtxS1AWUsNiG5Aoh-gNBzwcntE6z_pbP=w408-h544-k-no,false,"Pl. de la Vieille Halle aux Blés 31, 1000 Bruxelles, Belgium",,603,"R9V2+GQ Brussels, Belgium",4.6," $$",https://latabledemus.be/lunch/
2,,L’Ana Thème,Belgian restaurant,https://www.google.com/maps/place/L%E2%80%99Ana+Th%C3%A8me/data=!4m7!3m6!1s0x47c3c380a9560d0f:0x5f130caa7ee0b76a!8m2!3d50.8481952!4d4.3528279!16s%2Fg%2F1ydntz12p!19sChIJDw1WqYDDw0cRarfgfqoME18?authuser=0&hl=en&rclk=1,+32 472 74 64 46,"@50.8481952,4.3528279",50.8481952,4.3528279,Europe/Brussels,true,http://www.lanatheme.be/,https://lh5.googleusercontent.com/p/AF1QipMAlojx5BSgDNrzhLHUsAjfNkEIvu5fmd8OaJka=w408-h306-k-no,false,"Rue de la Fourche 14, 1000 Bruxelles, Belgium",,277,"R9X3+74 Brussels, Belgium",4.5," $$",
3,,Le Marmiton,Belgian restaurant,https://www.google.com/maps/place/Le+Marmiton/data=!4m7!3m6!1s0x47c3c47f7dadd76d:0x11932af83021be00!8m2!3d50.8477202!4d4.3548659!16s%2Fg%2F1tdgzg1m!19sChIJbdetfX_Ew0cRAL4hMPgqkxE?authuser=0&hl=en&rclk=1,+32 2 511 79 10,"@50.8477202,4.3548659",50.8477202,4.3548659,Europe/Brussels,true,https://lemarmiton.be/,https://lh5.googleusercontent.com/p/AF1QipPYc-NRLIE40SQb3OQMwnw7Xf4-D8A5pLEx5jRA=w426-h240-k-no,false,"Galerie de la Reine 38, Rue des Bouchers 43, 1000 Bruxelles, Belgium",,0,"R9X3+3W Brussels, Belgium",4.5," $$",https://lemarmiton.be/fr#menu
4,,Comme Chez Soi,Restaurant,https://www.google.com/maps/place/Comme+Chez+Soi/data=!4m7!3m6!1s0x47c3c47a024d0c4d:0x9a3bd661c7d63db3!8m2!3d50.8423616!4d4.345815!16s%2Fm%2F03d4vdt!19sChIJTQxNAnrEw0cRsz3Wx2HWO5o?authuser=0&hl=en&rclk=1,+32 2 512 29 21,"@50.8423616,4.345815",50.8423616,4.345815,Europe/Brussels,true,http://www.commechezsoi.be/,https://lh5.googleusercontent.com/p/AF1QipMCbgduy8K7Vi2Ha6GPKPtRZx5lbHvL4JPua_Os=w408-h272-k-no,false,"Pl. Rouppe 23, 1000 Bruxelles, Belgium",,671,"R8RW+W8 Brussels, Belgium",4.6," $$$$",
5,,Harvest,Modern European restaurant,https://www.google.com/maps/place/Harvest/data=!4m7!3m6!1s0x47c3c386f16e30f9:0x478a38e78422df9!8m2!3d50.8515939!4d4.3504873!16s%2Fg%2F11c71blfhv!19sChIJ-TBu8YbDw0cR-S1CeI6jeAQ?authuser=0&hl=en&rclk=1,+32 2 781 07 27,"@50.8515939,4.3504873",50.8515939,4.3504873,Europe/Brussels,true,http://www.harvestrestaurantbruxelles.be/,https://lh5.googleusercontent.com/p/AF1QipO6edbvBuptS3oPmQiGPrxcXT-nAhrWve26OSwM=w408-h306-k-no,false,"Pl. du Samedi 14, 1000 Bruxelles, Belgium",,534,"V922+J5 Brussels, Belgium",4.4," $$",https://harvestrestaurantbruxelles.be/menu_5_services-2/
6,,Chez Léon,Belgian restaurant,https://www.google.com/maps/place/Chez+L%C3%A9on/data=!4m7!3m6!1s0x47c3c38098bbbd05:0xa314d5d5db2f512c!8m2!3d50.8481873!4d4.3540409!16s%2Fg%2F1tgcx6mr!19sChIJBb27mIDDw0cRLFEv29XVFKM?authuser=0&hl=en&rclk=1,+32 2 511 14 15,"@50.8481873,4.3540409",50.8481873,4.3540409,Europe/Brussels,true,http://www.chezleon.be/,https://lh5.googleusercontent.com/p/AF1QipPprPUb_2d6ZqQF_oCkKd5Qr5mIDPKZRa7HrsEq=w408-h272-k-no,false,"Rue des Bouchers 18, 1000 Bruxelles, Belgium",,0,"R9X3+7J Brussels, Belgium",3.9," $$",https://chezleon.be/la-carte/
7,,Belga Queen,Belgian restaurant,https://www.google.com/maps/place/Belga+Queen/data=!4m7!3m6!1s0x47c3c380e3d2c379:0xee783a3a944f445f!8m2!3d50.8503107!4d4.3547205!16s%2Fg%2F1tf_gl27!19sChIJecPS44DDw0cRX0RPlDo6eO4?authuser=0&hl=en&rclk=1,,"@50.8503107,4.3547205",50.8503107,4.3547205,Europe/Brussels,true,,https://lh5.googleusercontent.com/p/AF1QipM2sZ-bP8pFcR6AMtVccuINZh8BCCrCi3lkWOVG=w408-h271-k-no,false,"Rue du Fossé aux Loups 32, 1000 Bruxelles, Belgium",,0,"V923+4V Brussels, Belgium",4.2," $$$",https://preview.bookvideo.com/58728e0ace40554350aad977
8,,Le Bistro - Porte de Hal,Brasserie,https://www.google.com/maps/place/Le+Bistro+-+Porte+de+Hal/data=!4m7!3m6!1s0x47c3c465e98edb6d:0x12d48f1220d176e4!8m2!3d50.8335134!4d4.3452957!16s%2Fg%2F11bxglvkm9!19sChIJbduO6WXEw0cR5HbRIBKP1BI?authuser=0&hl=en&rclk=1,+32 2 539 44 54,"@50.8335134,4.3452957",50.8335134,4.3452957,Europe/Brussels,true,http://le-bistro.be/,https://lh5.googleusercontent.com/p/AF1QipNvBoRjnueUcv9UmT7NIlAs5m3fdfcq9HDgpaGw=w427-h240-k-no,false,"Bd de Waterloo 138, 1000 Bruxelles, Belgium",,0,"R8MW+C4 Brussels, Belgium",4.6," $$",https://le-bistro.be/fr/menu
9,,Au Pleysier,Belgian restaurant,https://www.google.com/maps/place/Au+Pleysier/data=!4m7!3m6!1s0x47c3c4787a689f59:0x7ffe2c21f48ad8d0!8m2!3d50.8475799!4d4.3484512!16s%2Fg%2F1tr8kr4w!19sChIJWZ9oenjEw0cR0NiK9CEs_n8?authuser=0&hl=en&rclk=1,+32 2 511 40 00,"@50.8475799,4.3484512",50.8475799,4.3484512,Europe/Brussels,true,http://aupleysier.be/,https://lh5.googleusercontent.com/p/AF1QipPWQo7-F8NU6LLre0kOJXUH-KioKpFpEt-dD83f=w408-h306-k-no,false,"Borgwal 3, 1000 Bruxelles, Belgium",,430,"R8XX+29 Brussels, Belgium",4.6," $$",http://aupleysier.be/qr/menu
10,,La Rose Blanche,Belgian restaurant,https://www.google.com/maps/place/La+Rose+Blanche/data=!4m7!3m6!1s0x47c3c47f3110a2f3:0xf6b2f70150705056!8m2!3d50.846187!4d4.352619!16s%2Fg%2F1th22zbm!19sChIJ86IQMX_Ew0cRVlBwUAH3svY?authuser=0&hl=en&rclk=1,+32 2 513 64 79,"@50.846187,4.352619",50.846187,4.352619,Europe/Brussels,true,http://www.restaurant-rose-blanche.be/,https://lh5.googleusercontent.com/p/AF1QipMeC4Zcnb80r26WlW6C0JcUVfWpao5_f4jlNurp=w408-h271-k-no,false,"Grand Place 11, 1000 Bruxelles, Belgium",,879,"R9W3+F2 Brussels, Belgium",4,,https://cdn0.centralappstatic.com/file/place-1124-vg7t8uf3jj.pdf
