index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,EŌS,Apartment building,https://www.google.com/maps/place/E%C5%8CS/data=!4m7!3m6!1s0x89c259af3bd5a72f:0x781f26000675d94e!8m2!3d40.7478591!4d-73.9896603!16s%2Fg%2F11c0rwl3zs!19sChIJL6fVO69ZwokRTtl1BgAmH3g?authuser=0&hl=en&rclk=1,+1 212-899-3131,"@40.7478591,-73.9896603",40.7478591,-73.9896603,America/New_York,true,http://www.eosnomad.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://lh5.googleusercontent.com/p/AF1QipODD9Pnc13HfItrZMv1DRF-4sjoe_QFBhcmWwlj=w408-h271-k-no,false,"100 W 31st St, New York, NY 10001, United States",,0,"P2X6+44 New York, USA",0,,
2,,Mont Sky Real Estate,Real estate agency,https://www.google.com/maps/place/Mont+Sky+Real+Estate/data=!4m7!3m6!1s0x89c25989a76e98ad:0x3c9405bab0f9bf52!8m2!3d40.7049014!4d-74.0072444!16s%2Fg%2F11clzs1283!19sChIJrZhup4lZwokRUr_5sLoFlDw?authuser=0&hl=en&rclk=1,+1 646-397-8508,"@40.7049014,-74.0072444",40.7049014,-74.0072444,America/New_York,true,http://www.montskyrealestate.com/,https://lh5.googleusercontent.com/p/AF1QipOCL5VJHSdrZCyKeSno405ZWqTvwgeU2iXWxz8l=w408-h272-k-no,false,"99 Wall St Suite 2006, New York, NY 10005, United States",team@montskyrealestate.com,44,"PX3V+X4 New York, USA",4.7,,
3,,Manhattan Realty Group,Real estate agency,https://www.google.com/maps/place/Manhattan+Realty+Group/data=!4m7!3m6!1s0x89c259038c990fa7:0x884dc2a7ca9270b4!8m2!3d40.7512499!4d-73.9731679!16s%2Fg%2F11bxb9__p9!19sChIJpw-ZjANZwokRtHCSyqfCTYg?authuser=0&hl=en&rclk=1,+1 212-470-7070,"@40.7512499,-73.9731679",40.7512499,-73.9731679,America/New_York,true,http://www.mrgnyc.com/,https://lh5.googleusercontent.com/p/AF1QipMvQiY9KTWVOwYx0WX-G2QhN1H2UqDzTBMbfPiS=w615-h240-k-no,false,"211 E 43rd St #804, New York, NY 10017, United States","Abourne@mrgnyc.com,info@mrgnyc.com",218,"Q22G+FP New York, USA",4.9,,
4,,Elika Real Estate,Real estate agency,https://www.google.com/maps/place/Elika+Real+Estate/data=!4m7!3m6!1s0x89c25a11454c2621:0x15bb15338c314e5c!8m2!3d40.7234004!4d-74.0054379!16s%2Fg%2F1tkc30d5!19sChIJISZMRRFawokRXE4xjDMVuxU?authuser=0&hl=en&rclk=1,+1 212-590-0540,"@40.7234004,-74.0054379",40.7234004,-74.0054379,America/New_York,true,https://www.elikarealestate.com/,https://lh5.googleusercontent.com/p/AF1QipOTzqy5zX1ELl3QCoeYGcu6l0nUdrDsHTMXKc3S=w426-h240-k-no,false,"101 Avenue of the Americas 9th Floor, New York, NY 10013, United States",,63,"PXFV+9R New York, USA",4.9,,
5,,Gavin Hammon NYC Residential Real Estate Agent at Compass,Real estate agency,https://www.google.com/maps/place/Gavin+Hammon+NYC+Residential+Real+Estate+Agent+at+Compass/data=!4m7!3m6!1s0x89c2598943adcc95:0xbed3228931eee7d0!8m2!3d40.7376711!4d-73.9929188!16s%2Fg%2F1td2htvr!19sChIJlcytQ4lZwokR0OfuMYki074?authuser=0&hl=en&rclk=1,+1 917-595-0400,"@40.7376711,-73.9929188",40.7376711,-73.9929188,America/New_York,true,https://www.compass.com/agents/gavin-hammon/,https://lh5.googleusercontent.com/p/AF1QipOjL9RSkkC5Ps-uOzxjt-zwc30rqUBCkiQ5AIwt=w408-h538-k-no,false,"110 5th Ave, New York, NY 10011, United States",gavin.hammon@compass.com,46,"P2Q4+3R New York, USA",4.9,,
6,,New York Residential Real Estate,Real estate agency,https://www.google.com/maps/place/New+York+Residential+Real+Estate/data=!4m7!3m6!1s0x89c28aee9b72cc75:0x4bb8e694e0de96e2!8m2!3d40.7982968!4d-73.8189086!16s%2Fg%2F11cm0dj5b_!19sChIJdcxym-6KwokR4pbe4JTmuEs?authuser=0&hl=en&rclk=1,+1 917-921-9108,"@40.7982968,-73.8189086",40.7982968,-73.8189086,America/New_York,true,http://www.nyrre.com/,https://lh5.googleusercontent.com/p/AF1QipP5mHLkGJ3gY5yeJ7E0ze_23BQoB-YTY-t5brMf=w408-h306-k-no,false,"14 44 150th St, Whitestone, NY 11357, United States",,47,"Q5XJ+8C Whitestone, Queens, NY, USA",4.9,,
7,,NY Empire Real Estate,Real estate agency,https://www.google.com/maps/place/NY+Empire+Real+Estate/data=!4m7!3m6!1s0x89c25e2902d5902d:0xdcc8a42d097701b2!8m2!3d40.7255653!4d-73.8428942!16s%2Fg%2F1q64zwgy5!19sChIJLZDVAilewokRsgF3CS2kyNw?authuser=0&hl=en&rclk=1,+1 718-520-0120,"@40.7255653,-73.8428942",40.7255653,-73.8428942,America/New_York,true,http://www.nyempirerealestate.com/,https://lh5.googleusercontent.com/p/AF1QipPd9RFR7el9mvIwtyKW8a1ROnnOZnlTZlwSFljk=w408-h305-k-no,false,"110-06 69th Ave suite 1A, Queens, NY 11375, United States","yakubovalla7@gmail.com,leaellis55@yahoo.com",58,"P5G4+6R New York, USA",4.9,,
8,,Rachel Realty NYC,Real estate agency,https://www.google.com/maps/place/Rachel+Realty+NYC/data=!4m7!3m6!1s0x89c2f6287fd017c9:0x6b78817ce2ed228e!8m2!3d40.7898996!4d-73.9757779!16s%2Fg%2F1tct9n7n!19sChIJyRfQfyj2wokRjiLt4nyBeGs?authuser=0&hl=en&rclk=1,+1 917-417-1550,"@40.7898996,-73.9757779",40.7898996,-73.9757779,America/New_York,true,http://www.rachelrealtynyc.com/,https://lh5.googleusercontent.com/p/AF1QipMZv2BvJ_eFPH7U4llOFQ0Rv6z2E0i8yqhPKmYM=w408-h544-k-no,false,"255 W 88th St suite 1B, New York, NY 10024, United States",contact@rachelrealtynyc.com,41,"Q2QF+XM New York, USA",4.8,,
9,,Most NYC Realty,Real estate agency,https://www.google.com/maps/place/Most+NYC+Realty/data=!4m7!3m6!1s0x4f1802cee37e5353:0x8a638db31f7d3d2e!8m2!3d40.7554289!4d-73.9927124!16s%2Fg%2F11txkbb1xm!19sChIJU1N-484CGE8RLj19H7ONY4o?authuser=0&hl=en&rclk=1,+1 518-750-4670,"@40.7554289,-73.9927124",40.7554289,-73.9927124,America/New_York,true,http://www.mostnyc.com/,https://lh5.googleusercontent.com/p/AF1QipMxasetIDVL3QUTyHKCmphkMHb7MGwYOTGcRdR6=w408-h271-k-no,false,"325 W 38th St #809, New York, NY 10018, United States",admin@mostnyc.com,31,"Q244+5W New York, USA",5,,
10,,Olga Mayayeva-Real Estate Broker-eXp Realty covering New York’s 5 Boroughs & Long Island,Real estate agency,https://www.google.com/maps/place/Olga+Mayayeva-Real+Estate+Broker-eXp+Realty+covering+New+York%E2%80%99s+5+Boroughs+%26+Long+Island/data=!4m7!3m6!1s0x89c25f16a801e643:0xb8612db1c0c9d267!8m2!3d40.7174714!4d-73.8521554!16s%2Fg%2F11f8grbcjg!19sChIJQ-YBqBZfwokRZ9LJwLEtYbg?authuser=0&hl=en&rclk=1,+1 718-781-3074,"@40.7174714,-73.8521554",40.7174714,-73.8521554,America/New_York,true,https://www.realtorolga.com/,https://lh5.googleusercontent.com/p/AF1QipMDgms_7J04-Xbu1iJJLdeS1P4c-4O2mdl27pYI=w408-h306-k-no,false,"6856 Groton St, Queens, NY 11375, United States",,73,"P48X+X4 New York, USA",4.9,,
11,,The Prince Team at The Corcoran Group Real Estate,Real estate agency,https://www.google.com/maps/place/The+Prince+Team+at+The+Corcoran+Group+Real+Estate/data=!4m7!3m6!1s0x89c259eec8f7ea75:0x107090895d7d4368!8m2!3d40.7227995!4d-73.9987995!16s%2Fg%2F11h1yflm22!19sChIJder3yO5ZwokRaEN9XYmQcBA?authuser=0&hl=en&rclk=1,+1 646-580-7362,"@40.7227995,-73.9987995",40.7227995,-73.9987995,America/New_York,true,http://princeteamnyc.com/,https://lh5.googleusercontent.com/p/AF1QipN09Ag5bdCBXkTwMYwgHufKys1pTXgzu9EYHao=w408-h272-k-no,false,"524 Broadway, New York, NY 10012, United States","prince@corcoran.com,INFO@CORCORAN.COM",60,"P2F2+4F New York, USA",5,,
12,,Bogard New York Team | SERHANT. Real Estate,Real estate agency,https://www.google.com/maps/place/Bogard+New+York+Team+%7C+SERHANT.+Real+Estate/data=!4m7!3m6!1s0x89c259ef6da0f69f:0xb5e8aa1641b0d672!8m2!3d40.72356!4d-74.0030363!16s%2Fg%2F11jn4l02h5!19sChIJn_agbe9ZwokRctawQRaq6LU?authuser=0&hl=en&rclk=1,+1 646-201-8782,"@40.72356,-74.0030363",40.72356,-74.0030363,America/New_York,true,http://www.bogardny.com/,https://lh5.googleusercontent.com/p/AF1QipPKFduXWGNs6stcxA86yXH7qUDvjpK-d7tt6Km5=w408-h315-k-no,false,"372 W Broadway, New York, NY 10012, United States","BRANDON@SERHANT.COM,MALLORY@SERHANT.COM",38,"PXFW+CQ New York, USA",5,,
13,,"LoHo Realty, Lower East Side Real Estate",Real estate agency,"https://www.google.com/maps/place/LoHo+Realty,+Lower+East+Side+Real+Estate/data=!4m7!3m6!1s0x89c25bd5a011e491:0x91d39d31b63e909d!8m2!3d40.7159025!4d-73.9874926!16s%2Fg%2F1tpbcxck!19sChIJkeQRoNVbwokRnZA-tjGd05E?authuser=0&hl=en&rclk=1",+1 212-388-1115,"@40.7159025,-73.9874926",40.7159025,-73.9874926,America/New_York,true,https://www.lohorealty.com/,https://lh5.googleusercontent.com/p/AF1QipMipVTmnNzeiXLHafttutEgwlruvpYnrQNV90Je=w408-h612-k-no,false,"397 Grand St, New York, NY 10002, United States",info@lohorealty.com,28,"P287+92 New York, USA",4.9,,
14,,Next Step Realty,Real estate agency,https://www.google.com/maps/place/Next+Step+Realty/data=!4m7!3m6!1s0x89c25994cc50f08d:0x722b17216dc362dc!8m2!3d40.7318721!4d-73.9959773!16s%2Fg%2F11bc7psztl!19sChIJjfBQzJRZwokR3GLDbSEXK3I?authuser=0&hl=en&rclk=1,+1 646-568-1312,"@40.7318721,-73.9959773",40.7318721,-73.9959773,America/New_York,true,http://www.thenextsteprealty.com/,https://lh5.googleusercontent.com/p/AF1QipO9i59wfBKlkI98Y3-YYpAMNu6x-5cgitnOhCF9=w408-h306-k-no,false,"4 E 8th St, New York, NY 10003, United States",,202,"P2J3+PJ New York, USA",5,,
15,,Brooklyn Heights Real Estate,Real estate agency,https://www.google.com/maps/place/Brooklyn+Heights+Real+Estate/data=!4m7!3m6!1s0x89c25a48f23e724b:0x89a99c4ed54a5b98!8m2!3d40.6942499!4d-73.9929716!16s%2Fg%2F1tjz48vc!19sChIJS3I-8khawokRmFtK1U6cqYk?authuser=0&hl=en&rclk=1,+1 718-237-2176,"@40.6942499,-73.9929716",40.6942499,-73.9929716,America/New_York,true,https://bhre.com/,https://lh5.googleusercontent.com/p/AF1QipP7aempozxI2E-UTsiM5Nufx1GF6WugPrnyYgtq=w408-h272-k-no,false,"158 Montague St, Brooklyn, NY 11201, United States",sandra@bhre.com,43,"M2V4+MR New York, USA",4.7,,
