index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Caraotas,,https://www.google.com/maps/place/Caraotas/data=!4m7!3m6!1s0x89c25d2284104dfd:0x33e762824213d027!8m2!3d40.7021925!4d-73.9203442!16s%2Fg%2F11rc45hfyp!19sChIJ_U0QhCJdwokRJ9ATQoJi5zM?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,0,,0,,
2,,Casa Cruz New York,,https://www.google.com/maps/place/Casa+Cruz+New+York/data=!4m7!3m6!1s0x89c259531c6cc5e3:0x4553e2f14fec2881!8m2!3d40.7643816!4d-73.9700009!16s%2Fg%2F11pkbvzlh8!19sChIJ48VsHFNZwokRgSjsT_HiU0U?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,0,,0,,
3,,GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,,https://www.google.com/maps/place/GRIND+THE+NYC+COFFEE+SHOP+%26+BAGEL+HOUSE/data=!4m7!3m6!1s0x89c259125a931087:0x3d471d4575240620!8m2!3d40.7590839!4d-73.9918101!16s%2Fg%2F11kgnrjx7t!19sChIJhxCTWhJZwokRIAYkdUUdRz0?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,535,,4.5," $",
4,,St Kilda Coffee,,https://www.google.com/maps/place/St+Kilda+Coffee/data=!4m7!3m6!1s0x89c2585398cb1ecd:0x1c444f8aa8477495!8m2!3d40.7590238!4d-73.9902597!16s%2Fg%2F11c2091lqr!19sChIJzR7LmFNYwokRlXRHqIpPRBw?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,546,,4.6," $$",
5,,Gregorys Coffee,,https://www.google.com/maps/place/Gregorys+Coffee/data=!4m7!3m6!1s0x89c258ffefd5bec5:0xf78eae228a7408b1!8m2!3d40.7558258!4d-73.9826362!16s%2Fg%2F1tj3l_gt!19sChIJxb7V7_9YwokRsQh0iiKujvc?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,814,,4.2," $$",
6,,Culture Espresso,,https://www.google.com/maps/place/Culture+Espresso/data=!4m7!3m6!1s0x89c259aa4c38ca75:0x88ca3d6ff537d876!8m2!3d40.7520746!4d-73.9857387!16s%2Fg%2F1z449xl4g!19sChIJdco4TKpZwokRdtg39W89yog?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,0,,4.6," $$",
7,,Ground Central Coffee Company,,https://www.google.com/maps/place/Ground+Central+Coffee+Company/data=!4m7!3m6!1s0x89c25857bedd7dd5:0xb94021a9b5cfa8c9!8m2!3d40.7638666!4d-73.9847094!16s%2Fg%2F11gblg1262!19sChIJ1X3dvldYwokRyajPtakhQLk?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,888,,4.5," $$",
8,,Coffee Project New York | East Village,,https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m7!3m6!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc!8m2!3d40.7270884!4d-73.989382!16s%2Fg%2F11c3svpqld!19sChIJ_dckWptZwokR_LkU9WxPNZ4?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,716,,4.7," $$",
9,,Gumption Coffee,,https://www.google.com/maps/place/Gumption+Coffee/data=!4m7!3m6!1s0x89c25903f53cf951:0xc2c7e3abcb39348f!8m2!3d40.7569259!4d-73.983446!16s%2Fg%2F11m7mgfqyx!19sChIJUfk89QNZwokRjzQ5y6vjx8I?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,142,,4.5,,
10,,Ground Support Cafe,,https://www.google.com/maps/place/Ground+Support+Cafe/data=!4m7!3m6!1s0x89c2598c15907921:0x194df40b518f1187!8m2!3d40.7242903!4d-74.001961!16s%2Fg%2F1tgdpgnh!19sChIJIXmQFYxZwokRhxGPUQv0TRk?authuser=0&hl=en&rclk=1,,,0,0,,false,,,false,,,809,,4.3," $$",
