index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,1st Car Rental,Car rental agency,https://www.google.com/maps/place/1st+Car+Rental/data=!4m7!3m6!1s0x89c26470509a585b:0x3f43f94f93f82f29!8m2!3d40.6642034!4d-73.806126!16s%2Fg%2F1tf6bzmd!19sChIJW1iaUHBkwokRKS_4k0_5Qz8?authuser=0&hl=en&rclk=1,+1 516-256-7808,"@40.6642034,-73.806126",40.6642034,-73.806126,America/New_York,true,https://1stcar.net/car-rental/usa-new-york-jfk-international-airport?utm_campaign=jfk442&utm_medium=jfk4442&utm_source=map,https://lh5.googleusercontent.com/p/AF1QipNqV1qzbwNZg3DtiBv0MeV5ymUFnV_Kn041Ar0d=w426-h240-k-no,false,"149-32 132nd St, Queens, NY 11430, United States",,116,"M57V+MG New York, USA",5,,
2,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c258bec5f2959b:0x3b953095cc6aad5a!8m2!3d40.7739039!4d-73.9539856!16s%2Fg%2F1pzx6f_4w!19sChIJm5Xyxb5YwokRWq1qzJUwlTs?authuser=0&hl=en&rclk=1,+1 646-422-2600,"@40.7739039,-73.9539856",40.7739039,-73.9539856,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/manhattan-upper-east-side-80th-st-24g4.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipOcFeqeSO4vDxxpLQSvwIXa1wo1gCl2JQp1lgUs=w408-h408-k-no,false,"305 E 80th St, New York, NY 10075, United States",,244,"Q2FW+HC New York, USA",4.3,,
3,,RealCar: Premium & Luxury Car Rental NYC,Car rental agency,https://www.google.com/maps/place/RealCar:+Premium+%26+Luxury+Car+Rental+NYC/data=!4m7!3m6!1s0xa29ba7b3cec6e995:0x70f64015bacabac3!8m2!3d40.7567412!4d-73.9968114!16s%2Fg%2F11rx6prys5!19sChIJlenGzrOnm6IRw7rKuhVA9nA?authuser=0&hl=en&rclk=1,+1 212-991-8002,"@40.7567412,-73.9968114",40.7567412,-73.9968114,America/New_York,true,https://realcar.nyc/,https://lh5.googleusercontent.com/p/AF1QipOMuwpMTLC6k9VVnveYcDwNLmq8Fi1erJX5ck2Z=w408-h408-k-no,false,"448 W 38th St, New York, NY 10018, United States",,163,"Q243+M7 New York, USA",4.9,,
4,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c267173540fc53:0x2cb09602f76ff5d2!8m2!3d40.6602387!4d-73.8029385!16s%2Fg%2F1tp0flhd!19sChIJU_xANRdnwokR0vVv9wKWsCw?authuser=0&hl=en&rclk=1,+1 844-648-1609,"@40.6602387,-73.8029385",40.6602387,-73.8029385,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/new-york-jfk-international-airport-24jz.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipP7p6_zd3pSitiOHEt644SD_4DpU0uV92ad19kd=w408-h306-k-no,false,"308 Federal Cir, Jamaica, NY 11430, United States",,0,"M56W+3R Jamaica, Queens, NY, USA",4.3,,
5,,National Car Rental,Car rental agency,https://www.google.com/maps/place/National+Car+Rental/data=!4m7!3m6!1s0x89c2599a4460203d:0x58814dacbf966b67!8m2!3d40.7300657!4d-73.9933289!16s%2Fg%2F1q67rd1r5!19sChIJPSBgRJpZwokRZ2uWv6xNgVg?authuser=0&hl=en&rclk=1,+1 212-366-5423,"@40.7300657,-73.9933289",40.7300657,-73.9933289,America/New_York,true,https://www.nationalcar.com/en/car-rental/locations/us/ny/manhattan-astor-broadway-24gk.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipObXNMLDAj7vh1EguLK0a6_yGnKOUKrrm9MLoRN=w408-h408-k-no,false,"743 Broadway, New York, NY 10003, United States",,82,"P2J4+2M New York, USA",4.6,,
6,,C.C. Rental,Car rental agency,https://www.google.com/maps/place/C.C.+Rental/data=!4m7!3m6!1s0x89c25939b131a5b1:0x24f84ef9f72761a1!8m2!3d40.7623093!4d-73.9947224!16s%2Fg%2F11gr3n2g6r!19sChIJsaUxsTlZwokRoWEn9_lO-CQ?authuser=0&hl=en&rclk=1,+1 212-239-3333,"@40.7623093,-73.9947224",40.7623093,-73.9947224,America/New_York,true,http://www.ccrentalnyc.com/,https://lh5.googleusercontent.com/p/AF1QipOCYKUlgz_akmfysy144i9ZKc-CWi4IfeJ8mf1z=w426-h240-k-no,false,"520 W 46th St, New York, NY 10036, United States",,39,"Q264+W4 New York, USA",4.5,,
7,,Car Rental USA,Car rental agency,https://www.google.com/maps/place/Car+Rental+USA/data=!4m7!3m6!1s0x89c2673e82c7d517:0xa40357fbbdeb8458!8m2!3d40.661803!4d-73.774792!16s%2Fg%2F11q8s9p882!19sChIJF9XHgj5nwokRWITrvftXA6Q?authuser=0&hl=en&rclk=1,,"@40.661803,-73.774792",40.661803,-73.774792,America/New_York,false,https://carocar.net/car-rental/usa-new-york-jfk-international-airport?utm_campaign=jfk9&utm_medium=jfk91&utm_source=map,https://lh5.googleusercontent.com/p/AF1QipNItFyvn1y_48yTGl8FF7Ygbx9dWCRuw0I1DF_h=w426-h240-k-no,false,"165-17 146th Ave, Rochdale, NY 11434, United States",,14,"M66G+P3 Rochdale, Queens, NY, USA",5,,
8,,Avis Car Rental,Car rental agency,https://www.google.com/maps/place/Avis+Car+Rental/data=!4m7!3m6!1s0x89c259032127e261:0xdb3c1d6074a9e477!8m2!3d40.7510128!4d-73.9724017!16s%2Fg%2F12cnr2xn4!19sChIJYeInIQNZwokRd-SpdGAdPNs?authuser=0&hl=en&rclk=1,+1 212-682-1860,"@40.7510128,-73.9724017",40.7510128,-73.9724017,America/New_York,true,https://www.avis.com/en/locations/us/ny/new-york-city/e43,https://lh5.googleusercontent.com/p/AF1QipNCCk6XG6vMVCqqb-ZPrMA6HAXIoWDIy5qbFaME=w408-h544-k-no,false,"225 E 43rd St, New York, NY 10017, United States",,818,"Q22H+C2 New York, USA",3.6,,
9,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c258fef25a5a8d:0x515e9d2361b6dc0e!8m2!3d40.7617215!4d-73.9785018!16s%2Fg%2F1tfrhpcd!19sChIJjVpa8v5YwokRDty2YSOdXlE?authuser=0&hl=en&rclk=1,+1 212-730-6151,"@40.7617215,-73.9785018",40.7617215,-73.9785018,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/midtown-manhattan-times-square-24g3.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipM1tToMQOI23MkeSk6v6z3S1ku79KHuRBqVqb_j=w408-h408-k-no,false,"57 W 53rd St, New York, NY 10019, United States",,169,"Q26C+MH New York, USA",4,,
10,,AutoSlash,Car rental agency,https://www.google.com/maps/place/AutoSlash/data=!4m7!3m6!1s0x4a9b1871b7f1d55f:0x25641b6292767dc6!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11q35d5_0_!19sChIJX9Xxt3EYm0oRxn12kmIbZCU?authuser=0&hl=en&rclk=1,,"@46.423669,-129.9427086",46.423669,-129.9427086,Etc/GMT+9,true,https://www.autoslash.com/,https://lh5.googleusercontent.com/p/AF1QipPhxmAMq3ugLjTDPGZLwisdHpcQ2c0GbhHXpJw_=w426-h240-k-no,false,,,288,,4.8,,
11,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c25885b751b5a1:0xf4d2dfd09231e259!8m2!3d40.7853814!4d-73.9750032!16s%2Fg%2F1tdxrck4!19sChIJobVRt4VYwokRWeIxktDf0vQ?authuser=0&hl=en&rclk=1,+1 212-873-7474,"@40.7853814,-73.9750032",40.7853814,-73.9750032,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/manhattan-upper-west-side-83rd-st-24g6.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipMymZxV0Zij3I8Y3113HqjTJ0SUpgcF27uOdRZ4=w408-h306-k-no,false,"147 W 83rd St, New York, NY 10024, United States",,273,"Q2PF+5X New York, USA",4.4,,
12,,National Car Rental,Car rental agency,https://www.google.com/maps/place/National+Car+Rental/data=!4m7!3m6!1s0x89c259acb9ea1863:0x961e691a1020dc63!8m2!3d40.759077!4d-73.9903923!16s%2Fg%2F1v6l8dm9!19sChIJYxjquaxZwokRY9wgEBppHpY?authuser=0&hl=en&rclk=1,+1 212-575-5400,"@40.759077,-73.9903923",40.759077,-73.9903923,America/New_York,true,https://www.nationalcar.com/en/car-rental/locations/us/ny/midtown-manhattan-times-square-24gi.html?mcid=yext:245709,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"332 W 44th St, New York, NY 10036, United States",,113,"Q255+JR New York, USA",4.1,,
13,,Exotic Car Rental NYC | Luxury Car Rental,Car rental agency,https://www.google.com/maps/place/Exotic+Car+Rental+NYC+%7C+Luxury+Car+Rental/data=!4m7!3m6!1s0x89c259335852899b:0x4c7855f99630bf5!8m2!3d40.7294946!4d-73.9883747!16s%2Fg%2F11rmq4jc7_!19sChIJm4lSWDNZwokR9QtjmV-FxwQ?authuser=0&hl=en&rclk=1,,"@40.7294946,-73.9883747",40.7294946,-73.9883747,America/New_York,true,https://eliteexoticcarrental.com/exotic-car-rental-nyc/,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z9HLnOLqyuRhjJ_2Bvq9Bw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.00659&pitch=0&thumbfov=100,false,"220 E 9th St, New York, NY 10003, United States",,39,"P2H6+QM New York, USA",4.9,,
