index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,RealCar: Premium & Luxury Car Rental NYC,Car rental agency,https://www.google.com/maps/place/RealCar:+Premium+%26+Luxury+Car+Rental+NYC/data=!4m7!3m6!1s0xa29ba7b3cec6e995:0x70f64015bacabac3!8m2!3d40.7567412!4d-73.9968114!16s%2Fg%2F11rx6prys5!19sChIJlenGzrOnm6IRw7rKuhVA9nA?authuser=0&hl=en&rclk=1,+1 212-991-8002,"@40.7567412,-73.9968114",40.7567412,-73.9968114,America/New_York,true,https://realcar.nyc/,https://lh5.googleusercontent.com/p/AF1QipOMuwpMTLC6k9VVnveYcDwNLmq8Fi1erJX5ck2Z=w408-h408-k-no,false,"448 W 38th St, New York, NY 10018, United States",,163,"Q243+M7 New York, USA",4.9,,
2,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c267173540fc53:0x2cb09602f76ff5d2!8m2!3d40.6602387!4d-73.8029385!16s%2Fg%2F1tp0flhd!19sChIJU_xANRdnwokR0vVv9wKWsCw?authuser=0&hl=en&rclk=1,+1 844-648-1609,"@40.6602387,-73.8029385",40.6602387,-73.8029385,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/new-york-jfk-international-airport-24jz.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipP7p6_zd3pSitiOHEt644SD_4DpU0uV92ad19kd=w408-h306-k-no,false,"308 Federal Cir, Jamaica, NY 11430, United States",,0,"M56W+3R Jamaica, Queens, NY, USA",4.3,,
3,,National Car Rental,Car rental agency,https://www.google.com/maps/place/National+Car+Rental/data=!4m7!3m6!1s0x89c2599a4460203d:0x58814dacbf966b67!8m2!3d40.7300657!4d-73.9933289!16s%2Fg%2F1q67rd1r5!19sChIJPSBgRJpZwokRZ2uWv6xNgVg?authuser=0&hl=en&rclk=1,+1 212-366-5423,"@40.7300657,-73.9933289",40.7300657,-73.9933289,America/New_York,true,https://www.nationalcar.com/en/car-rental/locations/us/ny/manhattan-astor-broadway-24gk.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipObXNMLDAj7vh1EguLK0a6_yGnKOUKrrm9MLoRN=w408-h408-k-no,false,"743 Broadway, New York, NY 10003, United States",,82,"P2J4+2M New York, USA",4.6,,
4,,National Car Rental,Car rental agency,https://www.google.com/maps/place/National+Car+Rental/data=!4m7!3m6!1s0x89c259acb9ea1863:0x961e691a1020dc63!8m2!3d40.759077!4d-73.9903923!16s%2Fg%2F1v6l8dm9!19sChIJYxjquaxZwokRY9wgEBppHpY?authuser=0&hl=en&rclk=1,+1 212-575-5400,"@40.759077,-73.9903923",40.759077,-73.9903923,America/New_York,true,https://www.nationalcar.com/en/car-rental/locations/us/ny/midtown-manhattan-times-square-24gi.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipMHwIa_sdzDTK0_ri0VvSg4zW01Sg8kkz0KlqgF=w408-h408-k-no,false,"332 W 44th St, New York, NY 10036, United States",,113,"Q255+JR New York, USA",4.1,,
5,,National Car Rental,Car rental agency,https://www.google.com/maps/place/National+Car+Rental/data=!4m7!3m6!1s0x89c25858843948d9:0x3c04b5549f48849f!8m2!3d40.7665936!4d-73.984028!16s%2Fg%2F11bccm2bhj!19sChIJ2Ug5hFhYwokRn4RIn1S1BDw?authuser=0&hl=en&rclk=1,+1 646-692-3999,"@40.7665936,-73.984028",40.7665936,-73.984028,America/New_York,true,https://www.nationalcar.com/en/car-rental/locations/us/ny/manhattan-upper-west-side-24gc.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipOlmBftBPyrYBuLZ2f0MQdK1k4kI3O-QboG6DZc=w408-h408-k-no,false,"313 W 56th St, New York, NY 10019, United States",,83,"Q288+J9 New York, USA",4.2,,
6,,1st Car Rental,Car rental agency,https://www.google.com/maps/place/1st+Car+Rental/data=!4m7!3m6!1s0x89c26470509a585b:0x3f43f94f93f82f29!8m2!3d40.6642034!4d-73.806126!16s%2Fg%2F1tf6bzmd!19sChIJW1iaUHBkwokRKS_4k0_5Qz8?authuser=0&hl=en&rclk=1,+1 516-256-7808,"@40.6642034,-73.806126",40.6642034,-73.806126,America/New_York,true,https://1stcar.net/car-rental/usa-new-york-jfk-international-airport?utm_campaign=jfk442&utm_medium=jfk4442&utm_source=map,https://lh5.googleusercontent.com/p/AF1QipNqV1qzbwNZg3DtiBv0MeV5ymUFnV_Kn041Ar0d=w426-h240-k-no,false,"149-32 132nd St, Queens, NY 11430, United States",,116,"M57V+MG New York, USA",5,,
7,,Alamo Rent A Car,Car rental agency,https://www.google.com/maps/place/Alamo+Rent+A+Car/data=!4m7!3m6!1s0x89c25999cab41963:0x488906bfce5dc30a!8m2!3d40.730143!4d-73.9931533!16s%2Fg%2F1jkyccw7v!19sChIJYxm0yplZwokRCsNdzr8GiUg?authuser=0&hl=en&rclk=1,+1 888-826-6893,"@40.730143,-73.9931533",40.730143,-73.9931533,America/New_York,true,https://www.alamo.com/en/car-rental-locations/us/ny/manhattan-astor-broadway-24gu.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipPCGRB3Tp_xphGBD5uB0rF_kNmi9x3pCrXZhh0=w408-h306-k-no,false,"743 Broadway, New York, NY 10003, United States",,119,"P2J4+3P New York, USA",4.3,,
8,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c258bec5f2959b:0x3b953095cc6aad5a!8m2!3d40.7739039!4d-73.9539856!16s%2Fg%2F1pzx6f_4w!19sChIJm5Xyxb5YwokRWq1qzJUwlTs?authuser=0&hl=en&rclk=1,+1 646-422-2600,"@40.7739039,-73.9539856",40.7739039,-73.9539856,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/manhattan-upper-east-side-80th-st-24g4.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipOcFeqeSO4vDxxpLQSvwIXa1wo1gCl2JQp1lgUs=w408-h408-k-no,false,"305 E 80th St, New York, NY 10075, United States",,244,"Q2FW+HC New York, USA",4.3,,
9,,Enterprise Rent-A-Car,Car rental agency,https://www.google.com/maps/place/Enterprise+Rent-A-Car/data=!4m7!3m6!1s0x89c25f9c2fcbc321:0x81b5428b0e307ea8!8m2!3d40.7702208!4d-73.8751056!16s%2Fg%2F1vn19fx9!19sChIJIcPLL5xfwokRqH4wDotCtYE?authuser=0&hl=en&rclk=1,+1 844-648-1612,"@40.7702208,-73.8751056",40.7702208,-73.8751056,America/New_York,true,https://www.enterprise.com/en/car-rental-locations/us/ny/new-york-laguardia-airport-24jr.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipPLf_ImtHNBaHJfbQgNmn7onF1rYeRNUf9eYckU=w408-h306-k-no,false,"9501 Ditmars Blvd, East Elmhurst, NY 11369, United States",,0,"Q4CF+3X East Elmhurst, Queens, NY, USA",4.3,,
10,,Alamo Rent A Car,Car rental agency,https://www.google.com/maps/place/Alamo+Rent+A+Car/data=!4m7!3m6!1s0x89c26704d155f2cd:0x73566b659132bd3e!8m2!3d40.660213!4d-73.8029483!16s%2Fg%2F11bydj6knt!19sChIJzfJV0QRnwokRPr0ykWVrVnM?authuser=0&hl=en&rclk=1,+1 844-648-1611,"@40.660213,-73.8029483",40.660213,-73.8029483,America/New_York,true,https://www.alamo.com/en/car-rental-locations/us/ny/new-york-jfk-international-airport-24z2.html?mcid=yext:245709,https://lh5.googleusercontent.com/p/AF1QipPJ-UAmyz8lVzKBD18egozHjVU6YBwJ43ndwaol=w408-h306-k-no,false,"Building, 308 Federal Cir, Jamaica, NY 11430, United States",,785,"M56W+3R Jamaica, Queens, NY, USA",4.3,,
