index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Le Bistro - Porte de Hal,Brasserie,https://www.google.com/maps/place/Le+Bistro+-+Porte+de+Hal/data=!4m7!3m6!1s0x47c3c465e98edb6d:0x12d48f1220d176e4!8m2!3d50.8335134!4d4.3452957!16s%2Fg%2F11bxglvkm9!19sChIJbduO6WXEw0cR5HbRIBKP1BI?authuser=0&hl=en&rclk=1,+32 2 539 44 54,"@50.8335134,4.3452957",50.8335134,4.3452957,Europe/Brussels,true,http://le-bistro.be/,https://lh5.googleusercontent.com/p/AF1QipNvBoRjnueUcv9UmT7NIlAs5m3fdfcq9HDgpaGw=w427-h240-k-no,false,"Bd de Waterloo 138, 1000 Bruxelles, Belgium",,0,"R8MW+C4 Brussels, Belgium",4.6," $$",https://le-bistro.be/fr/menu
2,,La Rose Blanche,Belgian restaurant,https://www.google.com/maps/place/La+Rose+Blanche/data=!4m7!3m6!1s0x47c3c47f3110a2f3:0xf6b2f70150705056!8m2!3d50.846187!4d4.352619!16s%2Fg%2F1th22zbm!19sChIJ86IQMX_Ew0cRVlBwUAH3svY?authuser=0&hl=en&rclk=1,+32 2 513 64 79,"@50.846187,4.352619",50.846187,4.352619,Europe/Brussels,true,http://www.restaurant-rose-blanche.be/,https://lh5.googleusercontent.com/p/AF1QipMeC4Zcnb80r26WlW6C0JcUVfWpao5_f4jlNurp=w408-h271-k-no,false,"Grand Place 11, 1000 Bruxelles, Belgium",,879,"R9W3+F2 Brussels, Belgium",4,,https://cdn0.centralappstatic.com/file/place-1124-vg7t8uf3jj.pdf
3,,The blue,Restaurant,https://www.google.com/maps/place/The+blue/data=!4m7!3m6!1s0x47c3c47f230bd6c1:0xa0f009651056f89d!8m2!3d50.8457701!4d4.3532901!16s%2Fg%2F11g02ttjr1!19sChIJwdYLI3_Ew0cRnfhWEGUJ8KA?authuser=0&hl=en&rclk=1,+32 486 65 96 75,"@50.8457701,4.3532901",50.8457701,4.3532901,Europe/Brussels,true,,https://lh5.googleusercontent.com/p/AF1QipOIPXF6O8NcbvVw5kjll5yFJcoxZSO6mI3bllQR=w426-h240-k-no,false,"Rue du Marché aux Fromages 18, 1000 Bruxelles, Belgium",,0,"R9W3+88 Brussels, Belgium",4.6," $$",
4,,Le Pêcheur,Restaurant,https://www.google.com/maps/place/Le+P%C3%AAcheur/data=!4m7!3m6!1s0x47c3c3dacd1a5cbf:0x7987f512c6718701!8m2!3d50.8483082!4d4.3534486!16s%2Fg%2F11jdgs0q3g!19sChIJv1wazdrDw0cRAYdxxhL1h3k?authuser=0&hl=en&rclk=1,+32 487 73 02 62,"@50.8483082,4.3534486",50.8483082,4.3534486,Europe/Brussels,true,https://www.lepecheurbrussels.com/,https://lh5.googleusercontent.com/p/AF1QipP5wAc0Gbgp8WgYyBUJ9mmowjkzf13S_muRADlI=w426-h240-k-no,false,"Rue de la Fourche 33, 1000 Bruxelles, Belgium",,0,"R9X3+89 Brussels, Belgium",4.3," $$",https://www.lepecheurbrussels.com/
5,,The Lobster House,Seafood restaurant,https://www.google.com/maps/place/The+Lobster+House/data=!4m7!3m6!1s0x47c3c47f7d38b5e9:0x578a67bee5efbd30!8m2!3d50.8478926!4d4.3546542!16s%2Fg%2F11c2kdpn__!19sChIJ6bU4fX_Ew0cRML3v5b5nilc?authuser=0&hl=en&rclk=1,+32 2 502 20 16,"@50.8478926,4.3546542",50.8478926,4.3546542,Europe/Brussels,true,http://thelobsterhouse.be/,https://lh5.googleusercontent.com/p/AF1QipPJVItk2eiTS9sh6p2NYJ7HQG92yJqhWcpwn9hq=w408-h544-k-no,false,"Rue des Bouchers 34, 1000 Bruxelles, Belgium",,0,"R9X3+5V Brussels, Belgium",4.7," $$$",http://thelobsterhouse.be/plats/
6,,Yummy Bowl,Vegetarian restaurant,https://www.google.com/maps/place/Yummy+Bowl/data=!4m7!3m6!1s0x47c3c55efe8e2127:0x2dece22d102cb1cc!8m2!3d50.8453589!4d4.3533371!16s%2Fg%2F11gyxwgzn0!19sChIJJyGO_l7Fw0cRzLEsEC3i7C0?authuser=0&hl=en&rclk=1,+32 2 265 18 02,"@50.8453589,4.3533371",50.8453589,4.3533371,Europe/Brussels,true,http://www.yummybowl.be/,https://lh5.googleusercontent.com/p/AF1QipOy9bP3YEM_81n3FekFkpvdUBPCpZNoXBz-kArf=w408-h544-k-no,false,"Rue des Eperonniers 49, 1000 Bruxelles, Belgium",,771,"R9W3+48 Brussels, Belgium",4.8," $$",
7,,La Terrasse,Seafood restaurant,https://www.google.com/maps/place/La+Terrasse/data=!4m7!3m6!1s0x47c3c3a2b38f4fb7:0x251afdaf97403827!8m2!3d50.8482741!4d4.3538381!16s%2Fg%2F11h7vlzdqy!19sChIJt0-Ps6LDw0cRJzhAl6_9GiU?authuser=0&hl=en&rclk=1,+32 471 22 55 05,"@50.8482741,4.3538381",50.8482741,4.3538381,Europe/Brussels,true,,https://lh5.googleusercontent.com/p/AF1QipP7ovaqI8UWE1Oq9t3sQKH4jdJOUzBlIgJAl1FR=w426-h240-k-no,false,"Rue des Bouchers 12, 1000 Bruxelles, Belgium",,963,"R9X3+8G Brussels, Belgium",4.1,,
8,,La Brouette,Hamburger restaurant,https://www.google.com/maps/place/La+Brouette/data=!4m7!3m6!1s0x47c3c478b3b74b37:0x50128b43d2cc2b60!8m2!3d50.8471384!4d4.3519517!16s%2Fg%2F1228rq_1!19sChIJN0u3s3jEw0cRYCvM0kOLElA?authuser=0&hl=en&rclk=1,+32 2 511 20 22,"@50.8471384,4.3519517",50.8471384,4.3519517,Europe/Brussels,true,http://www.taverne-brouette.be/,https://lh5.googleusercontent.com/p/AF1QipO_6i3xPJH4BbvFLi1qXj04QlXzpPhozbTdGguy=w427-h240-k-no,false,"Grand Place 2, 1000 Bruxelles, Belgium",,918,"R9W2+VQ Brussels, Belgium",3.9," $$$",https://cdn0.centralapp.com/file/place-1129-f3jfufy4t1.pdf
9,,Au Vieux Saint Martin,Belgian restaurant,https://www.google.com/maps/place/Au+Vieux+Saint+Martin/data=!4m7!3m6!1s0x47c3c47db30f9d75:0xf11c20880a8336de!8m2!3d50.8408556!4d4.3544056!16s%2Fg%2F1tgqhl58!19sChIJdZ0Ps33Ew0cR3jaDCoggHPE?authuser=0&hl=en&rclk=1,+32 2 512 64 76,"@50.8408556,4.3544056",50.8408556,4.3544056,Europe/Brussels,true,http://www.auvieuxsaintmartin.be/,https://lh5.googleusercontent.com/p/AF1QipNEm-y5CzdBZMsB3hAzQedmQwMOZpOMTLDLmGbr=w426-h240-k-no,false,"Pl. du Grand Sablon 38, 1000 Bruxelles, Belgium",,0,"R9R3+8Q Brussels, Belgium",4.1," $$$",https://auvieuxsaintmartin.be/fr/notre-carte/
10,,Brighton Restaurant,Fine dining restaurant,https://www.google.com/maps/place/Brighton+Restaurant/data=!4m7!3m6!1s0x47c3c484fd2f66e3:0x3a093fe6c84de4d5!8m2!3d50.8396879!4d4.3674394!16s%2Fg%2F11b6jk5ry6!19sChIJ42Yv_YTEw0cR1eRNyOY_CTo?authuser=0&hl=en&rclk=1,+32 2 506 91 11,"@50.8396879,4.3674394",50.8396879,4.3674394,Europe/Brussels,true,https://brightonrestaurant.be/,https://lh5.googleusercontent.com/p/AF1QipP-EVlUNGKvyYMLx-3Tg5niCCQl0ZVaPsXIrkEP=w427-h240-k-no,false,"Rue du Commerce 9, 1000 Bruxelles, Belgium",,18,"R9Q8+VX Brussels, Belgium",4.2,,http://brightonrestaurant.be/qr/menu
