index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Sixt Autoverhuur Antwerpen Airport,Car rental agency,https://www.google.com/maps/place/Sixt+Autoverhuur+Antwerpen+Airport/data=!4m7!3m6!1s0x47c3f75aabcc09cb:0x86ae1d9d02ad1233!8m2!3d51.191266!4d4.4499081!16s%2Fg%2F12hwh8ht6!19sChIJywnMq1r3w0cRMxKtAp0droY?authuser=0&hl=en&rclk=1,+32 2 588 55 99,"@51.191266,4.4499081",51.191266,4.4499081,Europe/Brussels,true,https://www.sixt.be/huurautos/belgie/antwerpen/antwerpen-luchthaven?xaid=7490&c1=BE&c2=antwerpen&c3=antwerpen-luchthaven&utm_source=google_business&utm_medium=organic,https://lh5.googleusercontent.com/p/AF1QipM7KVjtoqOp61MTbqgNOy4rFovf4uuvBsQecgqH=w426-h240-k-no,false,"Luchthavenlei 1, 2100 Antwerpen, Belgium",,0,"5CRX+GX Antwerp, Belgium",0,,
2,,Car Rental Ath,Car rental agency,https://www.google.com/maps/place/Car+Rental+Ath/data=!4m7!3m6!1s0x47c3f79888a01977:0xf3454c0a3be5778a!8m2!3d51.2262827!4d4.4053515!16s%2Fg%2F11s4x3mt57!19sChIJdxmgiJj3w0cRinflOwpMRfM?authuser=0&hl=en&rclk=1,,"@51.2262827,4.4053515",51.2262827,4.4053515,Europe/Brussels,true,https://cartraveler.net/car-rental/belgium-ath,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jXWh2nWa7z-NvRHpvngDTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=104.95664&pitch=0&thumbfov=100,false,"Falconplein 15, 2000 Antwerpen, Belgium",support@cartraveler.net,7,"6CG4+G4 Antwerp, Belgium",5,,
3,,Car Rental Antwerpen,Car rental agency,https://www.google.com/maps/place/Car+Rental+Antwerpen/data=!4m7!3m6!1s0x47c3f76b8ad183c5:0x3be2bc6259c6d161!8m2!3d51.2141587!4d4.4208887!16s%2Fg%2F11s4y50t1b!19sChIJxYPRimv3w0cRYdHGWWK84js?authuser=0&hl=en&rclk=1,+32 488 76 64 18,"@51.2141587,4.4208887",51.2141587,4.4208887,Europe/Brussels,false,https://cartraveler.net/car-rental/belgium-antwerpen-schelle-railway-station,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2dow-wPP69MpVvAoLqV68w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=58.648052&pitch=0&thumbfov=100,false,"Pelikaanstraat 69, 2018 Antwerpen, Belgium",support@cartraveler.net,6,"6C7C+M9 Antwerp, Belgium",5,,
4,,Sixt Autoverhuur Antwerpen,Car rental agency,https://www.google.com/maps/place/Sixt+Autoverhuur+Antwerpen/data=!4m7!3m6!1s0x47c3f63641803905:0x8286e7e1a7a494e2!8m2!3d51.244784!4d4.4128319!16s%2Fg%2F1tddwyj7!19sChIJBTmAQTb2w0cR4pSkp-HnhoI?authuser=0&hl=en&rclk=1,+32 2 588 55 99,"@51.244784,4.4128319",51.244784,4.4128319,Europe/Brussels,true,https://www.sixt.be/huurautos/belgie/antwerpen/antwerpen?xaid=7490&c1=BE&c2=antwerpen&c3=antwerpen&utm_source=google_business&utm_medium=organic,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"Vosseschijnstraat 11, 2030 Antwerpen, Belgium",,315,"6CV7+W4 Antwerp, Belgium",4,,
5,,Europcar Antwerp Central Railway Station,Car rental agency,https://www.google.com/maps/place/Europcar+Antwerp+Central+Railway+Station/data=!4m7!3m6!1s0x47c3f70179cca733:0x86901ad1847ac0be!8m2!3d51.2162181!4d4.4214944!16s%2Fg%2F1tgh6q_9!19sChIJM6fMeQH3w0cRvsB6hNEakIY?authuser=0&hl=en&rclk=1,+32 3 206 74 44,"@51.2162181,4.4214944",51.2162181,4.4214944,Europe/Brussels,true,https://www.europcar.be/fr-be/agences/belgique/gare-d-anvers-central?utm_campaign=ANRL01&utm_medium=organic&utm_source=local,https://lh5.googleusercontent.com/p/AF1QipPAGie1faz0bnaZNdoLZ4t_wes7BjnINLHpAe7d=w425-h240-k-no,false,"Central Station, Pelikaanstraat 3, 2018 Antwerpen, Belgium",,109,"6C8C+FH Antwerp, Belgium",3.6,,
6,,Car Rental Antwerp,Car rental agency,https://www.google.com/maps/place/Car+Rental+Antwerp/data=!4m7!3m6!1s0x47c3f74a61279c09:0x330a2c2b26739e29!8m2!3d51.1912241!4d4.4498817!16s%2Fg%2F11t6mkb7ws!19sChIJCZwnYUr3w0cRKZ5zJissCjM?authuser=0&hl=en&rclk=1,,"@51.1912241,4.4498817",51.1912241,4.4498817,Europe/Brussels,false,https://cartraveler.net/car-rental/belgium-antwerp-international-airport-anr,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"Luchthavenlei 1, 2100 Antwerpen, Belgium",support@cartraveler.net,5,"5CRX+FX Antwerp, Belgium",5,,
7,,Car Rental Antwerp - International - Airport,Car rental agency,https://www.google.com/maps/place/Car+Rental+Antwerp+-+International+-+Airport/data=!4m7!3m6!1s0x47c3f71577b86ef7:0x5298e3ba24b35bbe!8m2!3d51.1892492!4d4.45096!16s%2Fg%2F11t4wtkw9c!19sChIJ9264dxX3w0cRvluzJLrjmFI?authuser=0&hl=en&rclk=1,,"@51.1892492,4.45096",51.1892492,4.45096,Europe/Brussels,false,https://autokot.com/car-rental/belgium-antwerp-international-airport-anr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d0SYir2NS9IACD7Xn12g9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.86766&pitch=0&thumbfov=100,false,"Luchthavenlei 35, 2100 Antwerpen, Belgium",support@autokot.com,6,"5FQ2+M9 Antwerp, Belgium",5,,
8,,Car Rental Antwerpen - Schelle Railway Station,Car rental agency,https://www.google.com/maps/place/Car+Rental+Antwerpen+-+Schelle+Railway+Station/data=!4m7!3m6!1s0x47c3f7e3bf32ce21:0x6b4c41030c31005d!8m2!3d51.1994055!4d4.4311434!16s%2Fg%2F11t6g7qtl2!19sChIJIc4yv-P3w0cRXQAxDANBTGs?authuser=0&hl=en&rclk=1,,"@51.1994055,4.4311434",51.1994055,4.4311434,Europe/Brussels,false,https://autokot.com/car-rental/belgium-antwerpen-schelle-railway-station,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gx970-1LV06jkFRyejnRJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.01837&pitch=0&thumbfov=100,false,"Posthoflei 5, 2600 Antwerpen, Belgium",support@autokot.com,5,"5CXJ+QF Antwerp, Belgium",5,,
9,,All Car Rent SA,Car rental agency,https://www.google.com/maps/place/All+Car+Rent+SA/data=!4m7!3m6!1s0x47c3f7bee758444f:0xcd4e945cc44dfdf0!8m2!3d51.2389602!4d4.4407283!16s%2Fg%2F1tdzq916!19sChIJT0RY5773w0cR8P1NxFyUTs0?authuser=0&hl=en&rclk=1,+32 3 641 96 00,"@51.2389602,4.4407283",51.2389602,4.4407283,Europe/Brussels,true,http://www.allcarrent.be/,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"Frans de l'Arbrelaan 61, 2170 Antwerpen, Belgium",,208,"6CQR+H7 Antwerp, Belgium",4.1,,
10,,Hertz Autoverhuur Antwerpen Centraal Station,Car rental agency,https://www.google.com/maps/place/Hertz+Autoverhuur+Antwerpen+Centraal+Station/data=!4m7!3m6!1s0x47c3f7039fcf6bad:0x41893cf5976ff48c!8m2!3d51.2137655!4d4.4209989!16s%2Fg%2F11h3prtg56!19sChIJrWvPnwP3w0cRjPRvl_U8iUE?authuser=0&hl=en&rclk=1,+32 3 239 29 21,"@51.2137655,4.4209989",51.2137655,4.4209989,Europe/Brussels,true,https://www.hertz.be/p/autoverhuur/belgie/antwerpen,https://lh5.googleusercontent.com/p/AF1QipPdxgvphQ-FOc5hhZ1Ppv1pUNiDkBTri9IXWcSW=w426-h240-k-no,false,"High Speed Train Station, 2018 Antwerpen, Belgium",,31,"6C7C+G9 Antwerp, Belgium",3.2,,
