index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,ProWash - 1050,Car wash,https://www.google.com/maps/place/ProWash+-+1050/data=!4m7!3m6!1s0x3e5f5c6fe0c2a105:0x8e715f2f31c41b8b!8m2!3d25.2941948!4d55.3706157!16s%2Fg%2F11dxhz3vcy!19sChIJBaHC4G9cXz4RixvEMS9fcY4?authuser=0&hl=en&rclk=1,+971 4 298 7062,"@25.2941948,55.3706157",25.2941948,55.3706157,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipN67it4zkMPMLapgW-FmmXpKoqumGaPstrXLUnP=w408-h272-k-no,false,"Amman St, D 97, Al Nahda 1 - Dubai - United Arab Emirates",,674,79VC+M6 Dubai - United Arab Emirates,4.9,,
2,,ProWash - 73,Car wash,https://www.google.com/maps/place/ProWash+-+73/data=!4m7!3m6!1s0x3e5f69c48221eafb:0x669c715462e65d2a!8m2!3d25.178364!4d55.253636!16s%2Fg%2F11c31rxq7c!19sChIJ--ohgsRpXz4RKl3mYlRxnGY?authuser=0&hl=en&rclk=1,+971 4 343 1189,"@25.178364,55.253636",25.178364,55.253636,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipPK5ZAyQxilN4i4C1wmB23mo90tdA1j22eIsOoJ=w408-h272-k-no,false,"Al Meydan Rd, D 69, Opp Safa Intersection - Dubai - United Arab Emirates",,272,57H3+8F Dubai - United Arab Emirates,4.5,,
3,,ProWash - 1035,Car wash,https://www.google.com/maps/place/ProWash+-+1035/data=!4m7!3m6!1s0x3e5f6a1aaf621033:0x3b51ce691e01a82!8m2!3d25.169731!4d55.21533!16s%2Fg%2F11dxhynvcj!19sChIJMxBirxpqXz4RghrgkeYctQM?authuser=0&hl=en&rclk=1,+971 4 394 5425,"@25.169731,55.21533",25.169731,55.21533,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipPxO9cMesYujFTjT4a3SsxDPwtrF--8S5WzrOuu=w408-h272-k-no,false,"Jumeirah Rd, D 94, Jumeirah 3 - Dubai - United Arab Emirates",,150,5698+V4 Dubai - United Arab Emirates,4.6,,
4,,ProWash - 1076,Car wash,https://www.google.com/maps/place/ProWash+-+1076/data=!4m7!3m6!1s0x3e5f6f1da902f25b:0x434cf43e307ffb65!8m2!3d25.0895173!4d55.251972!16s%2Fg%2F11fq2vnf0z!19sChIJW_ICqR1vXz4RZft_MD70TEM?authuser=0&hl=en&rclk=1,+971 4 234 8869,"@25.0895173,55.251972",25.0895173,55.251972,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipPlRoM_glPRAf8AX82Sp-oOTNZpy76Z_Oq_1smr=w408-h272-k-no,false,Dubai Hills - Umm Suqeim St - Dubai - United Arab Emirates,,290,37Q2+RQ Dubai - United Arab Emirates,4.8,,
5,,ProWash - 1060,Car wash,https://www.google.com/maps/place/ProWash+-+1060/data=!4m7!3m6!1s0x3e5f6ba33c0efcc7:0xde027af83f60665d!8m2!3d25.09688!4d55.164915!16s%2Fg%2F11c71620sl!19sChIJx_wOPKNrXz4RXWZgP_h6At4?authuser=0&hl=en&rclk=1,+971 4 395 7188,"@25.09688,55.164915",25.09688,55.164915,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipOKi1g1G9agOLmlzqhjKx1nIXAMgcdKDgtyMLMW=w408-h272-k-no,false,"E11 Sheikh Zayed Road, Dubai Internet City - Dubai - United Arab Emirates",,705,35W7+QX Dubai - United Arab Emirates,4.7,,
6,,TotalEnergies Champion Car Wash,Car wash,https://www.google.com/maps/place/TotalEnergies+Champion+Car+Wash/data=!4m7!3m6!1s0x3e5f5dee5b47b667:0xa037d126010563e5!8m2!3d25.2751231!4d55.346828!16s%2Fg%2F11p4tmrc1w!19sChIJZ7ZHW-5dXz4R5WMFASbRN6A?authuser=0&hl=en&rclk=1,+971 52 103 1261,"@25.2751231,55.346828",25.2751231,55.346828,Asia/Dubai,true,https://totalenergies.ae/,https://lh5.googleusercontent.com/p/AF1QipPcQL38g03bZs2iyt3_xdUCdeGZLG2rZdY-gk80=w426-h240-k-no,false,Deira - Salah Al Din St - Al Khabaisi - Dubai - United Arab Emirates,,209,78GW+2P Dubai - United Arab Emirates,4.4,,
7,,Car wash,Car wash,https://www.google.com/maps/place/Car+wash/data=!4m7!3m6!1s0x3e5f6b71caf6c91b:0xbde3e96b252b8b5!8m2!3d25.0994762!4d55.1719652!16s%2Fg%2F11cs7zdg98!19sChIJG8n2ynFrXz4RtbhSspY-3gs?authuser=0&hl=en&rclk=1,,"@25.0994762,55.1719652",25.0994762,55.1719652,Asia/Dubai,false,,https://lh5.googleusercontent.com/p/AF1QipOR_8HyQpYVIqa4tyaqO37N-jM823vdxiNBPwzd=w408-h544-k-no,false,35XC+QQW - Barsha Heights - Dubai - United Arab Emirates,,91,,4,,
8,,ProWash - 100,Car wash,https://www.google.com/maps/place/ProWash+-+100/data=!4m7!3m6!1s0x3e5f4319ac83a219:0x3cf37fe644546530!8m2!3d25.2498391!4d55.2892514!16s%2Fg%2F11c5_wyc0j!19sChIJGaKDrBlDXz4RMGVUROZ_8zw?authuser=0&hl=en&rclk=1,+971 4 398 4781,"@25.2498391,55.2892514",25.2498391,55.2892514,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipN20Asf3gMMOdBjE8Vk_uMdt7kYzRxeN1LpMRfs=w408-h272-k-no,false,"Al Mankhool Rd, D 90, Wasl Real Estate - Dubai - United Arab Emirates",,674,67XQ+WP Dubai - United Arab Emirates,4.5,,
9,,ProWash - 85,Car wash,https://www.google.com/maps/place/ProWash+-+85/data=!4m7!3m6!1s0x3e5f6b71cafb1425:0x6da0e3a81702aa11!8m2!3d25.099452!4d55.171935!16s%2Fg%2F11g69_26gc!19sChIJJRT7ynFrXz4REaoCF6jjoG0?authuser=0&hl=en&rclk=1,+971 4 347 3752,"@25.099452,55.171935",25.099452,55.171935,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipO5gtNkYmgNcpHOzpFXOsFJjkdIrxxX-2ZDALQp=w408-h272-k-no,false,"Shk Zd Rd, E11, Tecom Metro - Dubai - United Arab Emirates",,0,35XC+QQ Dubai - United Arab Emirates,4.9,,
10,,ProWash - 1088,Car wash,https://www.google.com/maps/place/ProWash+-+1088/data=!4m7!3m6!1s0x3e5f42b2c510e8c7:0xa72e27ffb9a28476!8m2!3d25.2190303!4d55.3139726!16s%2Fg%2F11c6yztnv7!19sChIJx-gQxbJCXz4RdoSiuf8nLqc?authuser=0&hl=en&rclk=1,+971 4 335 0920,"@25.2190303,55.3139726",25.2190303,55.3139726,Asia/Dubai,true,https://www.autopro.ae/prowash,https://lh5.googleusercontent.com/p/AF1QipOwjp3i6F2YSfKwXCFXJzdCJj5twblHLQnlnlm3=w408-h272-k-no,false,"Oud Metha Rd, E 66, Opp Al Wasl Club - Dubai - United Arab Emirates",,375,6897+JH Dubai - United Arab Emirates,4.7,,
