index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Self Serve Car Wash,Self service car wash,https://www.google.com/maps/place/Self+Serve+Car+Wash/data=!4m7!3m6!1s0x89c261db77841f23:0x4cfe89fd6525c919!8m2!3d40.7483584!4d-73.7583581!16s%2Fg%2F11k7q0p_mq!19sChIJIx-Ed9thwokRGcklZf2J_kw?authuser=0&hl=en&rclk=1,+1 718-744-8393,"@40.7483584,-73.7583581",40.7483584,-73.7583581,America/New_York,true,,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"21902 Horace Harding Expy, Queens, NY 11364, United States",,67,"P6XR+8M New York, USA",4.3,,
2,,Michael's Car Wash,Car wash,https://www.google.com/maps/place/Michael%27s+Car+Wash/data=!4m7!3m6!1s0x89c258cd5002747d:0x7c1421e8449d8e35!8m2!3d40.7592468!4d-73.9370648!16s%2Fg%2F11fzd34mm4!19sChIJfXQCUM1YwokRNY6dROghFHw?authuser=0&hl=en&rclk=1,+1 718-786-6228,"@40.7592468,-73.9370648",40.7592468,-73.9370648,America/New_York,false,,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"3621 21st St, Long Island City, NY 11106, United States",,478,"Q357+M5 Long Island City, Queens, NY, USA",4.1,,
3,,LMC Car Wash & Lube,Car wash,https://www.google.com/maps/place/LMC+Car+Wash+%26+Lube/data=!4m7!3m6!1s0x89c2f6011b0f7f55:0x29ad69900ce83474!8m2!3d40.7914882!4d-73.9392964!16s%2Fg%2F1tf08ll2!19sChIJVX8PGwH2wokRdDToDJBprSk?authuser=0&hl=en&rclk=1,+1 212-423-0444,"@40.7914882,-73.9392964",40.7914882,-73.9392964,America/New_York,true,https://www.facebook.com/LMCfirstave.carwash,https://lh5.googleusercontent.com/p/AF1QipNofrQg8P9JE_R1uSLmchjTqnXWsHEUxg4ZeynH=w408-h544-k-no,false,"334 E 109th St, New York, NY 10029, United States",,0,"Q3R6+H7 New York, USA",4,,
4,,Alpha Car Wash & Detailing,Car wash,https://www.google.com/maps/place/Alpha+Car+Wash+%26+Detailing/data=!4m7!3m6!1s0x89c2584e44409acb:0x78a12eb8179b5c70!8m2!3d40.7634334!4d-73.9966499!16s%2Fg%2F1thtqhpt!19sChIJy5pARE5YwokRcFybF7guoXg?authuser=0&hl=en&rclk=1,+1 917-261-5977,"@40.7634334,-73.9966499",40.7634334,-73.9966499,America/New_York,true,https://lcalphacarwash.wixsite.com/alpha-carwash,https://lh5.googleusercontent.com/p/AF1QipPHIdJe6bsiG5oOzDJx96nzZg7QySWXvYbnfcpj=w408-h303-k-no,false,"625 46th Street, 11th Ave, New York, NY 10036, United States",,298,"Q273+98 New York, USA",3.7,,
5,,Queensboro Car Wash,Car wash,https://www.google.com/maps/place/Queensboro+Car+Wash/data=!4m7!3m6!1s0x89c258d25a9823b9:0x3e48149093987027!8m2!3d40.7568942!4d-73.9401612!16s%2Fg%2F1th6frnk!19sChIJuSOYWtJYwokRJ3CYk5AUSD4?authuser=0&hl=en&rclk=1,+1 718-752-9143,"@40.7568942,-73.9401612",40.7568942,-73.9401612,America/New_York,false,,https://lh5.googleusercontent.com/p/AF1QipNd8BCZGgPi9lh2BMUuDvzjHrvzVm6COftnPO60=w408-h544-k-no,false,"38-26 21st St, Long Island City, NY 11101, United States",,0,"Q345+QW Long Island City, Queens, NY, USA",3.9,,
6,,Westchester Ave Carwash & Lube,Car wash,https://www.google.com/maps/place/Westchester+Ave+Carwash+%26+Lube/data=!4m7!3m6!1s0x89c2f4fa2465d263:0x7c34fd51953bd0b5!8m2!3d40.828039!4d-73.882554!16s%2Fg%2F11c1nzk3_k!19sChIJY9JlJPr0wokRtdA7lVH9NHw?authuser=0&hl=en&rclk=1,+1 718-842-2185,"@40.828039,-73.882554",40.828039,-73.882554,America/New_York,true,,https://lh5.googleusercontent.com/p/AF1QipOf4dVD0KK9xTcueZdmK0uiqd4XJWDv5KwfMmIh=w408-h544-k-no,false,"1440 Westchester Ave, Bronx, NY 10472, United States",,828,"R4H8+6X Bronx, New York, USA",4.1,,
7,,Jerome Car Wash,Car wash,https://www.google.com/maps/place/Jerome+Car+Wash/data=!4m7!3m6!1s0x89c2f43a56169add:0x5bb645a0f1fe96ac!8m2!3d40.8372493!4d-73.9212192!16s%2Fg%2F11hy9p7whp!19sChIJ3ZoWVjr0wokRrJb-8aBFtls?authuser=0&hl=en&rclk=1,+1 718-992-2404,"@40.8372493,-73.9212192",40.8372493,-73.9212192,America/New_York,true,,https://lh5.googleusercontent.com/p/AF1QipNe5lDg9D9yEX1szOvJYq7uKCLUZ-pK6dj9Qyly=w408-h725-k-no,false,"1251 Jerome Ave, Bronx, NY 10452, United States",,164,"R3PH+VG Bronx, New York, USA",4.2,,
8,,Brushless Car Wash Full Service & Exterior,Car wash,https://www.google.com/maps/place/Brushless+Car+Wash+Full+Service+%26+Exterior/data=!4m7!3m6!1s0x89c266b23ed72ff9:0xed8acb99ea020855!8m2!3d40.6798248!4d-73.7613449!16s%2Fg%2F11ghtdq8kv!19sChIJ-S_XPrJmwokRVQgC6pnLiu0?authuser=0&hl=en&rclk=1,,"@40.6798248,-73.7613449",40.6798248,-73.7613449,America/New_York,false,,https://lh5.googleusercontent.com/p/AF1QipM4omt3f0Naa5pDR3PGsoIryW7cpOMk3rdgQXzf=w408-h306-k-no,false,"Jamaica, NY 11434, United States",,148,"M6HQ+WF Jamaica, Queens, NY, USA",4,,
9,,Shiny Car Wash & Lube,Car wash,https://www.google.com/maps/place/Shiny+Car+Wash+%26+Lube/data=!4m7!3m6!1s0x89c25c4faf183f41:0xd76818bd816d1e47!8m2!3d40.6758906!4d-73.8981196!16s%2Fg%2F1tfwl8lh!19sChIJQT8Yr09cwokRRx5tgb0YaNc?authuser=0&hl=en&rclk=1,+1 718-495-9739,"@40.6758906,-73.8981196",40.6758906,-73.8981196,America/New_York,true,https://www.shinycarwashbklyn.com/,https://lh5.googleusercontent.com/p/AF1QipMiWBvuntS3-a0bwNgwYSP3Gq9gUGcwCktSe2K8=w426-h240-k-no,false,"2591 Atlantic Ave, Brooklyn, NY 11207, United States",,0,"M4G2+9Q New York, USA",3.9,,
10,,Self Serve Car Wash,Car wash,https://www.google.com/maps/place/Self+Serve+Car+Wash/data=!4m7!3m6!1s0x89c267cc0c1db7ad:0x1084fc1166adaf01!8m2!3d40.6674548!4d-73.7896629!16s%2Fg%2F11j7vjv864!19sChIJrbcdDMxnwokRAa-tZhH8hBA?authuser=0&hl=en&rclk=1,,"@40.6674548,-73.7896629",40.6674548,-73.7896629,America/New_York,true,,https://lh5.googleusercontent.com/p/AF1QipNNnrVYmPthCvbA1sNhZSz9dad0IwX7vcNBaP9b=w408-h306-k-no,false,"133-44 150th St, Queens, NY 11435, United States",,32,"M686+X4 New York, USA",4.5,,
