index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,Arte Antwerp,Clothing store,https://www.google.com/maps/place/Arte+Antwerp/data=!4m7!3m6!1s0x47c3f6f0d0dde731:0xd49bf9ab95628146!8m2!3d51.2170249!4d4.400969!16s%2Fg%2F11cn5ltd6r!19sChIJMefd0PD2w0cRRoFilav5m9Q?authuser=0&hl=en&rclk=1,+32 3 349 47 37,"@51.2170249,4.400969",51.2170249,4.400969,Europe/Brussels,true,https://arte-antwerp.com/,https://lh5.googleusercontent.com/p/AF1QipPDZcWqv-hlYLvWIp77Crxr_Qso8Aj81RRLznl9=w408-h306-k-no,false,"Kammenstraat 45, 2000 Antwerpen, Belgium",,504,"6C82+R9 Antwerp, Belgium",4.1,,
2,,MOOSE in the CITY,Clothing store,https://www.google.com/maps/place/MOOSE+in+the+CITY/data=!4m7!3m6!1s0x47c3f6f0d6307b4d:0x9a77affa73c35a7b!8m2!3d51.2167949!4d4.4005934!16s%2Fg%2F1tdgtkh7!19sChIJTXsw1vD2w0cRe1rDc_qvd5o?authuser=0&hl=en&rclk=1,+32 3 369 12 12,"@51.2167949,4.4005934",51.2167949,4.4005934,Europe/Brussels,true,https://www.moose-in-the-city.com/,https://lh5.googleusercontent.com/p/AF1QipPDf4Md-l-qxn2dbhvmedOGqMNLCLERrnH-fZil=w408-h306-k-no,false,"IJzerenwaag 10, 2000 Antwerpen, Belgium",,328,"6C82+P6 Antwerp, Belgium",4.4,,
3,,Urban Outfitters,Clothing store,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x47c3f6feb856543d:0xb71d8f166ddc96a8!8m2!3d51.2178157!4d4.4110526!16s%2Fg%2F1tjcnm86!19sChIJPVRWuP72w0cRqJbcbRaPHbc?authuser=0&hl=en&rclk=1,+32 3 375 18 13,"@51.2178157,4.4110526",51.2178157,4.4110526,Europe/Brussels,true,https://www.urbanoutfitters.com/en-gb/,https://lh5.googleusercontent.com/p/AF1QipM_4nHEhfBPSJ9wkIbvXGOIybW-BbGwOIJd-Edg=w426-h240-k-no,false,"Meir 78/Albrecht Dürerzaal, 2000 Antwerpen, Belgium",,448,"6C96+4C Antwerp, Belgium",4," $$$",
4,,Essentiel Antwerp - Outlet store,Clothing store,https://www.google.com/maps/place/Essentiel+Antwerp+-+Outlet+store/data=!4m7!3m6!1s0x47c3f6f0d390aaa7:0x718d790a5e403920!8m2!3d51.2166828!4d4.4011276!16s%2Fg%2F119t92glg!19sChIJp6qQ0_D2w0cRIDlAXgp5jXE?authuser=0&hl=en&rclk=1,+32 3 233 89 43,"@51.2166828,4.4011276",51.2166828,4.4011276,Europe/Brussels,true,,https://lh5.googleusercontent.com/p/AF1QipNlGSDlC4yZmspEZ633O_6dCxQ_MkZUHfddQLz6=w408-h905-k-no,false,"Kammenstraat 56, 2000 Antwerpen, Belgium",,50,"6C82+MF Antwerp, Belgium",4.4,,
5,,WEAR Store,Clothing store,https://www.google.com/maps/place/WEAR+Store/data=!4m7!3m6!1s0x47c3f7bc24ea64ab:0xb35a56ccf98d360a!8m2!3d51.2176354!4d4.4005048!16s%2Fg%2F11kn18dwt8!19sChIJq2TqJLz3w0cRCjaN-cxWWrM?authuser=0&hl=en&rclk=1,+32 3 326 74 60,"@51.2176354,4.4005048",51.2176354,4.4005048,Europe/Brussels,true,http://www.wear-store.be/,https://lh5.googleusercontent.com/p/AF1QipMffdpunN_BxzqXB9W52bsloiXTYGUUSwXsI8ZU=w408-h544-k-no,false,"Kammenstraat 21, 2000 Antwerpen, Belgium",,6,"6C92+36 Antwerp, Belgium",4.3,,
6,,Fnac,Department store,https://www.google.com/maps/place/Fnac/data=!4m7!3m6!1s0x47c3f6f76e43252f:0xf378aeda2fa44842!8m2!3d51.2179049!4d4.4106191!16s%2Fg%2F1v96kz8w!19sChIJLyVDbvf2w0cRQkikL9quePM?authuser=0&hl=en&rclk=1,+32 3 213 56 11,"@51.2179049,4.4106191",51.2179049,4.4106191,Europe/Brussels,true,https://www.nl.fnac.be/Antwerpen/Fnac-Antwerpen/cl535?utm_source=gmb,https://lh5.googleusercontent.com/p/AF1QipM62Ar06bujMpLbrIll9PDxNubOr7k2iaMgxtGC=w426-h240-k-no,false,"Meir 66, 2000 Antwerpen, Belgium",,0,"6C96+56 Antwerp, Belgium",3.9,,
7,,G-Star RAW Store,Clothing store,https://www.google.com/maps/place/G-Star+RAW+Store/data=!4m7!3m6!1s0x47c3f6f6d0e598f9:0x5f9c894d3538898!8m2!3d51.2178836!4d4.4051943!16s%2Fg%2F1ptyz3jzb!19sChIJ-Zjl0Pb2w0cRmIhT05TI-QU?authuser=0&hl=en&rclk=1,+32 3 232 94 99,"@51.2178836,4.4051943",51.2178836,4.4051943,Europe/Brussels,true,https://www.g-star.com/en_be/stores/be/g-star-raw-store-antwerpen-huidevetterst?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=listing&y_source=1_MzgwNTcxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://lh5.googleusercontent.com/p/AF1QipNZhTiQ--3i7JTo1i9t2Sd9QwvdbZgpX4Gav2yE=w513-h240-k-no,false,"Huidevettersstraat 12/14, 2000 Antwerpen, Belgium",,147,"6C94+53 Antwerp, Belgium",4.5,,
8,,Stadsfeestzaal,Shopping mall,https://www.google.com/maps/place/Stadsfeestzaal/data=!4m7!3m6!1s0x47c3f6feb856543d:0xdccdd0477aa3bc55!8m2!3d51.2176911!4d4.4113054!16s%2Fg%2F121zjc0f!19sChIJPVRWuP72w0cRVbyjekfQzdw?authuser=0&hl=en&rclk=1,+32 3 202 31 00,"@51.2176911,4.4113054",51.2176911,4.4113054,Europe/Brussels,true,http://www.stadsfeestzaal.com/,https://lh5.googleusercontent.com/p/AF1QipNin_H1j81K2iLRHqLgR1NvBwqFk1n4c2pyUzWr=w408-h906-k-no,false,"Meir 78, 2000 Antwerpen, Belgium",,0,"6C96+3G Antwerp, Belgium",4.2,,
9,,WE Fashion Antwerpen - Meir,Clothing store,https://www.google.com/maps/place/WE+Fashion+Antwerpen+-+Meir/data=!4m7!3m6!1s0x47c3f6f946d0fac9:0x43ece97d696cd773!8m2!3d51.2179697!4d4.4094591!16s%2Fg%2F1v1vcbyn!19sChIJyfrQRvn2w0cRc9dsaX3p7EM?authuser=0&hl=en&rclk=1,+32 3 233 76 61,"@51.2179697,4.4094591",51.2179697,4.4094591,Europe/Brussels,true,https://www.wefashion.be/nl_BE/winkels/antwerpen-meir-54/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=antwerpen,https://lh5.googleusercontent.com/p/AF1QipPjUXGpxznrc_JvKmQQT9ihmGothxZjgl2nq7VB=w408-h544-k-no,false,"Meir 54, 2000 Antwerpen, Belgium",,78,"6C95+5Q Antwerp, Belgium",4.1,,
10,,Penn&Ink N.Y the Store Antwerp,Women's clothing store,https://www.google.com/maps/place/Penn%26Ink+N.Y+the+Store+Antwerp/data=!4m7!3m6!1s0x47c3f71b0a0e2ebf:0x71f4bc9e614f44e!8m2!3d51.2175145!4d4.4045873!16s%2Fg%2F11h7v50v5j!19sChIJvy4OChv3w0cRTvQU5slLHwc?authuser=0&hl=en&rclk=1,+32 3 808 25 38,"@51.2175145,4.4045873",51.2175145,4.4045873,Europe/Brussels,true,http://www.pennandink-ny.com/,https://lh5.googleusercontent.com/p/AF1QipMm1Kkg4cIDp1syqUyJESKBZ2XkQA8b7AKZ0v-h=w426-h240-k-no,false,"Groendalstraat 12, 2000 Antwerpen, Belgium",,5,"6C93+2R Antwerp, Belgium",5,,
