index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,IMMOBILIO Agence Immobilière Digitale,Real estate agency,https://www.google.com/maps/place/IMMOBILIO+Agence+Immobili%C3%A8re+Digitale/data=!4m7!3m6!1s0xda7d397e6a64f9b:0x2ea3b208892b5757!8m2!3d33.5547257!4d-7.6226079!16s%2Fg%2F11fb3l5tkh!19sChIJm0-m5pfTpw0RV1criQiyoy4?authuser=0&hl=en&rclk=1,0660-163232,"@33.5547257,-7.6226079",33.5547257,-7.6226079,Africa/Casablanca,true,https://www.immobilio.ma/,https://lh5.googleusercontent.com/p/AF1QipNCO68WoCintxAacf15hBArtAe9YyG7JYDbvCaQ=w408-h272-k-no,false,,,40,,5,,
2,,MIC INVEST MAROC,Real estate agency,https://www.google.com/maps/place/MIC+INVEST+MAROC/data=!4m7!3m6!1s0xda7d3bfdc19567b:0xe1140120c45a7d66!8m2!3d33.591201!4d-7.6353529!16s%2Fg%2F11fm6kpb4c!19sChIJe1YZ3L_Tpw0RZn1axCABFOE?authuser=0&hl=en&rclk=1,0662-199477,"@33.591201,-7.6353529",33.591201,-7.6353529,Africa/Casablanca,true,http://www.instagram.com/micinvest,https://lh5.googleusercontent.com/p/AF1QipOcXDcTjRxOsmQsgedHxlIte7qnm2QzMBhXO0V_=w427-h240-k-no,false,"Residence Azur, 131 Bd d'Anfa, Casablanca 20000",,127,H9R7+FV Casablanca,4.9,,
3,,LA SIGNATURE REALTY GROUP,Real estate agency,https://www.google.com/maps/place/LA+SIGNATURE+REALTY+GROUP/data=!4m7!3m6!1s0xda7d30d7ce8f92d:0xe11bd0a195314354!8m2!3d33.5741471!4d-7.6367706!16s%2Fg%2F11n88sycn8!19sChIJLfnofA3Tpw0RVEMxlaHQG-E?authuser=0&hl=en&rclk=1,0644-867889,"@33.5741471,-7.6367706",33.5741471,-7.6367706,Africa/Casablanca,true,,https://lh5.googleusercontent.com/p/AF1QipNBJeyQcFMrboosXHaeJulA3B0bI7vXU0zyImVT=w408-h552-k-no,false,"RDC N°1, RÉSIDENCE ÉDENE, 16 Rue Henri Murger, Casablanca 20390",,40,H9F7+M7 Casablanca,4.9,,
4,,Century 21 Ollier,Real estate agency,https://www.google.com/maps/place/Century+21+Ollier/data=!4m7!3m6!1s0xda7d2ecc5a72a1b:0x6b30aaf8a8a26d60!8m2!3d33.5909451!4d-7.6340028!16s%2Fg%2F11b63cwtkw!19sChIJGyqnxezSpw0RYG2iqPiqMGs?authuser=0&hl=en&rclk=1,0614-309309,"@33.5909451,-7.6340028",33.5909451,-7.6340028,Africa/Casablanca,true,http://www.century21ollier.com/,https://lh5.googleusercontent.com/p/AF1QipPKQKbuideG1VflM8Toe39CGgVnW8ONosz3AvBV=w408-h408-k-no,false,"place ollier, 22 Rue Najib Mahfoud, Casablanca 20000",,64,H9R8+99 Casablanca,4.7,,
5,,Real estate agency Val Foncier,Real estate agency,https://www.google.com/maps/place/Real+estate+agency+Val+Foncier/data=!4m7!3m6!1s0xda7d2bcc50b134b:0x4c68b0c38f6bf6b2!8m2!3d33.5804319!4d-7.6230179!16s%2Fg%2F11cs3p_nzt!19sChIJSxMLxbzSpw0RsvZrj8OwaEw?authuser=0&hl=en&rclk=1,0661-077710,"@33.5804319,-7.6230179",33.5804319,-7.6230179,Africa/Casablanca,true,https://valfoncier.ma/,https://lh5.googleusercontent.com/p/AF1QipO5IP31h6w0jkwUgtg96ojyEoflVQ5ZqvPB2NbN=w426-h240-k-no,false,"2 rue Clavérole quartier des hôpitaux, Casablanca 20000",,94,H9JG+5Q Casablanca,4.8,,
6,,Sun Brokers Agency - Agence immobilière à Casablanca,Real estate agency,https://www.google.com/maps/place/Sun+Brokers+Agency+-+Agence+immobili%C3%A8re+%C3%A0+Casablanca/data=!4m7!3m6!1s0xda7d36b42760b09:0xf06450c5aa69b104!8m2!3d33.5744836!4d-7.6503983!16s%2Fg%2F11q2qj1nk_!19sChIJCQt2QmvTpw0RBLFpqsVQZPA?authuser=0&hl=en&rclk=1,0651-446521,"@33.5744836,-7.6503983",33.5744836,-7.6503983,Africa/Casablanca,true,https://www.instagram.com/sun_brokers_agency/?hl=en,https://lh5.googleusercontent.com/p/AF1QipN8zLUUG-rncDOULwQw3b_A2puhIJTlFNqt96zd=w408-h728-k-no,false,"Blvd Ghandi, Résidence Ghandimall Immeuble 8, 3e étage, num, Casablanca 20380",,139,H8FX+QR Casablanca,4.9,,
7,,8th AVENUE,Real estate agency,https://www.google.com/maps/place/8th+AVENUE/data=!4m7!3m6!1s0xda7d2bc6b1b1d71:0x3550e49e9bacdac8!8m2!3d33.5793465!4d-7.6262226!16s%2Fg%2F11f1zlzv68!19sChIJcR0ba7zSpw0RyNqsm57kUDU?authuser=0&hl=en&rclk=1,05229-92989,"@33.5793465,-7.6262226",33.5793465,-7.6262226,Africa/Casablanca,true,https://www.8thavenue.ma/,https://lh5.googleusercontent.com/p/AF1QipMU8b3yDaAFmZ4KvQJMWPGFtdoc1_8YNK8-VSYi=w408-h272-k-no,false,"21 Rue ahmed Ennassiri résidence Andalous 2éme etage N° 06, Casablanca 20340",,40,H9HF+PG Casablanca,4.9,,
8,,The Agency,Real estate agency,https://www.google.com/maps/place/The+Agency/data=!4m7!3m6!1s0xda7d3c298497f4b:0x6107ed40e938a0c1!8m2!3d33.5982643!4d-7.663941!16s%2Fg%2F11jskzvbt9!19sChIJS39JmMLTpw0RwaA46UDtB2E?authuser=0&hl=en&rclk=1,0661-255290,"@33.5982643,-7.663941",33.5982643,-7.663941,Africa/Casablanca,true,http://the-agency.ma/,https://lh5.googleusercontent.com/p/AF1QipN4QdAMGh7QnPQ-jJuRex55nKsoEfHQDUNcHUQG=w408-h534-k-no,false,"étage 1 Étage 1, Spaces Anfa Place, Boulevard de la Corniche, entrée Ouest, Casablanca 20000",,27,H8XP+8C Casablanca,4.7,,
9,,Excellence Luxury AT Immo,Real estate agency,https://www.google.com/maps/place/Excellence+Luxury+AT+Immo/data=!4m7!3m6!1s0xda7d35ce5335277:0x86b3d3ace731b8bf!8m2!3d33.5879064!4d-7.6412816!16s%2Fg%2F11jp0bkjy7!19sChIJd1Iz5VzTpw0Rv7gx56zTs4Y?authuser=0&hl=en&rclk=1,0619-205812,"@33.5879064,-7.6412816",33.5879064,-7.6412816,Africa/Casablanca,true,https://excellenceluxuryatimmo.business.site/?utm_source=gmb&utm_medium=referral,https://lh5.googleusercontent.com/p/AF1QipN1wxOjCdA6OyExBANQPok6msNCyy9uFrQu0dZE=w408-h272-k-no,false,"10 Rue 6 Octobre, Casablanca 20100",,52,H9Q5+5F Casablanca,4.6,,
10,,Immo Clair Service Casablanca,Real estate agency,https://www.google.com/maps/place/Immo+Clair+Service+Casablanca/data=!4m7!3m6!1s0xda7d2e64a1e060d:0x1238e8e3edcb243!8m2!3d33.585319!4d-7.645556!16s%2Fg%2F1pp2twz25!19sChIJDQYeSubSpw0RQ7LcPo6OIwE?authuser=0&hl=en&rclk=1,05229-82584,"@33.585319,-7.645556",33.585319,-7.645556,Africa/Casablanca,true,http://www.immoservice.ma/index.cfm,https://lh5.googleusercontent.com/p/AF1QipOncOp884Hv3NB78NltoYPtiMzxmpfqjNEQrp4k=w408-h544-k-no,false,"20, rue Ali Abderrazak - ex Mirabea , Casablanca, Casablanca 20370",,25,H9P3+4Q Casablanca,4.8,,
